Name: Valley Road, Instruction: Head east on Valley Road, Distance: 1419.1 meters, Time: 1021.7 seconds
Name: Park Road, Instruction: Turn left onto Park Road, Distance: 249.0 meters, Time: 179.3 seconds
Name: -, Instruction: Keep right, Distance: 139.1 meters, Time: 100.2 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Turn left, Distance: 70.1 meters, Time: 50.5 seconds
Name: -, Instruction: Turn right, Distance: 89.3 meters, Time: 64.3 seconds
Name: -, Instruction: Turn right, Distance: 51.3 meters, Time: 37.0 seconds
Name: -, Instruction: Turn left, Distance: 13.8 meters, Time: 9.9 seconds
Name: -, Instruction: Turn slight right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
