Name: Hanikura Street, Instruction: Head south on Hanikura Street, Distance: 145.4 meters, Time: 104.7 seconds
Name: Longshore Drive, Instruction: Turn right onto Longshore Drive, Distance: 254.5 meters, Time: 183.2 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.4 seconds
Name: -, Instruction: Turn right, Distance: 160.0 meters, Time: 115.2 seconds
Name: -, Instruction: Keep right, Distance: 80.2 meters, Time: 57.7 seconds
Name: -, Instruction: Continue straight, Distance: 42.1 meters, Time: 30.3 seconds
Name: -, Instruction: Turn right, Distance: 12.2 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 202.2 meters, Time: 145.5 seconds
Name: -, Instruction: Keep right, Distance: 406.8 meters, Time: 292.9 seconds
Name: -, Instruction: Keep right, Distance: 964.0 meters, Time: 694.1 seconds
Name: -, Instruction: Continue straight, Distance: 29.9 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
