Name: Ryehill Close, Instruction: Head northwest on Ryehill Close, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 74.4 meters, Time: 53.5 seconds
Name: -, Instruction: Turn right, Distance: 174.9 meters, Time: 125.9 seconds
Name: -, Instruction: Turn left, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn right, Distance: 571.0 meters, Time: 411.1 seconds
Name: -, Instruction: Turn right, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 111.1 meters, Time: 80.0 seconds
Name: Margan Avenue Shared Path, Instruction: Turn right onto Margan Avenue Shared Path, Distance: 91.5 meters, Time: 65.9 seconds
Name: Margan Avenue Shared Path, Instruction: Turn left onto Margan Avenue Shared Path, Distance: 17.8 meters, Time: 12.8 seconds
Name: Rankin Avenue Shared Path, Instruction: Turn right onto Rankin Avenue Shared Path, Distance: 458.0 meters, Time: 329.8 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: -, Instruction: Turn right, Distance: 1.8 meters, Time: 1.3 seconds
Name: -, Instruction: Continue straight, Distance: 1.1 meters, Time: 0.8 seconds
Name: -, Instruction: Turn left, Distance: 46.3 meters, Time: 33.3 seconds
Name: Tōtara Avenue, Instruction: Turn left onto Tōtara Avenue, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 52.4 meters, Time: 37.7 seconds
Name: McCrae Way, Instruction: Turn right onto McCrae Way, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn right, Distance: 26.8 meters, Time: 19.3 seconds
Name: -, Instruction: Keep left, Distance: 49.6 meters, Time: 35.7 seconds
Name: -, Instruction: Turn right, Distance: 56.5 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 19.0 meters, Time: 13.7 seconds
Name: -, Instruction: Turn right, Distance: 437.2 meters, Time: 314.8 seconds
Name: -, Instruction: Turn left, Distance: 62.3 meters, Time: 44.9 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
