Name: Hawke Place, Instruction: Head south on Hawke Place, Distance: 84.8 meters, Time: 61.0 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 677.9 meters, Time: 488.1 seconds
Name: -, Instruction: Turn right, Distance: 12.3 meters, Time: 8.8 seconds
Name: -, Instruction: Turn left, Distance: 414.9 meters, Time: 298.7 seconds
Name: -, Instruction: Turn left, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 7.1 meters, Time: 5.1 seconds
Name: Twomey Drive, Instruction: Continue straight onto Twomey Drive, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 472.3 meters, Time: 340.0 seconds
Name: -, Instruction: Keep right, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Keep right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
