Name: Mountain Road, Instruction: Head northwest on Mountain Road, Distance: 12.3 meters, Time: 8.9 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 166.7 meters, Time: 120.0 seconds
Name: -, Instruction: Turn left, Distance: 280.5 meters, Time: 202.0 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 219.8 meters, Time: 158.2 seconds
Name: -, Instruction: Turn left, Distance: 29.9 meters, Time: 21.5 seconds
Name: -, Instruction: Turn slight right, Distance: 117.0 meters, Time: 84.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 38.9 meters, Time: 28.0 seconds
Name: Mount Eden Road, Instruction: Turn right onto Mount Eden Road, Distance: 250.0 meters, Time: 180.0 seconds
Name: Kelly Street, Instruction: Turn left onto Kelly Street, Distance: 81.7 meters, Time: 58.8 seconds
Name: Kelly Street, Instruction: Turn left onto Kelly Street, Distance: 66.6 meters, Time: 48.0 seconds
Name: Edenvale Crescent, Instruction: Turn right onto Edenvale Crescent, Distance: 199.8 meters, Time: 143.8 seconds
Name: Wynyard Road, Instruction: Turn right onto Wynyard Road, Distance: 180.2 meters, Time: 129.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Keep left, Distance: 63.4 meters, Time: 45.7 seconds
Name: Porters Avenue Overbridge, Instruction: Keep left onto Porters Avenue Overbridge, Distance: 69.8 meters, Time: 50.2 seconds
Name: -, Instruction: Turn right, Distance: 266.1 meters, Time: 191.6 seconds
Name: -, Instruction: Keep right, Distance: 69.9 meters, Time: 50.3 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.5 seconds
Name: -, Instruction: Turn right, Distance: 77.7 meters, Time: 56.0 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
