Name: Shellbank Lane, Instruction: Head southwest on Shellbank Lane, Distance: 57.1 meters, Time: 41.1 seconds
Name: Tahingamanu Road, Instruction: Turn right onto Tahingamanu Road, Distance: 120.5 meters, Time: 86.7 seconds
Name: Tahingamanu Road, Instruction: Continue straight onto Tahingamanu Road, Distance: 179.3 meters, Time: 129.1 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 186.5 meters, Time: 134.3 seconds
Name: -, Instruction: Turn left, Distance: 177.1 meters, Time: 127.5 seconds
Name: -, Instruction: Turn left, Distance: 44.6 meters, Time: 32.1 seconds
Name: -, Instruction: Turn sharp right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 63.7 meters, Time: 45.9 seconds
Name: Kotuku Lane, Instruction: Turn left onto Kotuku Lane, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Continue straight, Distance: 6.3 meters, Time: 4.6 seconds
Name: -, Instruction: Turn right, Distance: 156.5 meters, Time: 112.7 seconds
Name: -, Instruction: Turn right, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn left, Distance: 89.9 meters, Time: 64.7 seconds
Name: -, Instruction: Turn left, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 136.7 meters, Time: 98.5 seconds
Name: -, Instruction: Turn slight right, Distance: 0.8 meters, Time: 0.6 seconds
Name: -, Instruction: Turn slight left, Distance: 212.1 meters, Time: 152.7 seconds
Name: -, Instruction: Turn slight left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Keep right, Distance: 246.8 meters, Time: 177.7 seconds
Name: -, Instruction: Turn left, Distance: 95.7 meters, Time: 68.9 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 115.5 meters, Time: 83.1 seconds
Name: Hema Road, Instruction: Turn left onto Hema Road, Distance: 8.5 meters, Time: 6.1 seconds
Name: Clark Road, Instruction: Turn right onto Clark Road, Distance: 48.4 meters, Time: 34.8 seconds
Name: -, Instruction: Arrive at Clark Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
