Name: Tihi Street, Instruction: Head northwest on Tihi Street, Distance: 17.6 meters, Time: 12.6 seconds
Name: Stonefields Avenue, Instruction: Enter the roundabout and take the 1st exit onto Stonefields Avenue, Distance: 249.6 meters, Time: 179.7 seconds
Name: Stonefields Avenue, Instruction: Enter the roundabout and take the 2nd exit onto Stonefields Avenue, Distance: 158.3 meters, Time: 114.0 seconds
Name: Stonefields Avenue, Instruction: Continue straight onto Stonefields Avenue, Distance: 30.5 meters, Time: 22.0 seconds
Name: -, Instruction: Turn right, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 24.1 meters, Time: 17.3 seconds
Name: -, Instruction: Continue straight, Distance: 229.6 meters, Time: 165.3 seconds
Name: -, Instruction: Turn slight right, Distance: 38.1 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 42.9 meters, Time: 30.9 seconds
Name: -, Instruction: Turn slight left, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn slight right, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 673.1 meters, Time: 484.6 seconds
Name: -, Instruction: Turn left, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 226.5 meters, Time: 163.1 seconds
Name: -, Instruction: Keep left, Distance: 25.2 meters, Time: 18.2 seconds
Name: -, Instruction: Keep right, Distance: 24.1 meters, Time: 17.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
