Name: Valley Road, Instruction: Head east on Valley Road, Distance: 204.5 meters, Time: 147.2 seconds
Name: Beach Front Lane, Instruction: Turn left onto Beach Front Lane, Distance: 415.1 meters, Time: 298.9 seconds
Name: Anzac Road, Instruction: Turn right onto Anzac Road, Distance: 39.7 meters, Time: 28.6 seconds
Name: Anzac Road, Instruction: Keep left onto Anzac Road, Distance: 20.3 meters, Time: 14.6 seconds
Name: Clyde Road, Instruction: Enter the roundabout and take the 2nd exit onto Clyde Road, Distance: 29.5 meters, Time: 21.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Turn left, Distance: 316.9 meters, Time: 228.2 seconds
Name: -, Instruction: Turn left, Distance: 49.3 meters, Time: 35.5 seconds
Name: -, Instruction: Keep left, Distance: 9.8 meters, Time: 7.1 seconds
Name: Philson Terrace, Instruction: Turn slight right onto Philson Terrace, Distance: 496.8 meters, Time: 357.7 seconds
Name: -, Instruction: Turn left, Distance: 134.9 meters, Time: 97.2 seconds
Name: Browns Bay Road, Instruction: Turn right onto Browns Bay Road, Distance: 153.5 meters, Time: 110.5 seconds
Name: -, Instruction: Turn left, Distance: 41.4 meters, Time: 29.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
