Name: Forge Way, Instruction: Head northeast on Forge Way, Distance: 155.1 meters, Time: 111.7 seconds
Name: Mountain Road, Instruction: Turn left onto Mountain Road, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn right, Distance: 129.7 meters, Time: 93.4 seconds
Name: -, Instruction: Turn right, Distance: 102.9 meters, Time: 74.1 seconds
Name: -, Instruction: Turn slight right, Distance: 35.7 meters, Time: 25.7 seconds
Name: -, Instruction: Keep right, Distance: 50.7 meters, Time: 36.5 seconds
Name: Fraser Road, Instruction: Turn slight left onto Fraser Road, Distance: 140.6 meters, Time: 101.2 seconds
Name: -, Instruction: Turn left, Distance: 6.5 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 482.8 meters, Time: 347.6 seconds
Name: -, Instruction: Turn right, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Turn left, Distance: 96.2 meters, Time: 69.3 seconds
Name: -, Instruction: Keep left, Distance: 316.3 meters, Time: 227.7 seconds
Name: -, Instruction: Turn right, Distance: 75.5 meters, Time: 54.4 seconds
Name: -, Instruction: Turn left, Distance: 8.7 meters, Time: 6.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
