Name: شارع الرشاح, Instruction: Head north on شارع الرشاح, Distance: 54.2 meters, Time: 39.0 seconds
Name: شارع علي عزام, Instruction: Turn left onto شارع علي عزام, Distance: 81.9 meters, Time: 58.9 seconds
Name: شارع المكاوي, Instruction: Turn right onto شارع المكاوي, Distance: 164.3 meters, Time: 118.3 seconds
Name: شارع عمر بن عبد العزيز, Instruction: Turn left onto شارع عمر بن عبد العزيز, Distance: 137.2 meters, Time: 98.8 seconds
Name: -, Instruction: Turn right, Distance: 10.7 meters, Time: 7.7 seconds
Name: شارع عمر بن عبد العزيز, Instruction: Turn right onto شارع عمر بن عبد العزيز, Distance: 112.4 meters, Time: 80.9 seconds
Name: -, Instruction: Turn left, Distance: 92.0 meters, Time: 66.2 seconds
Name: -, Instruction: Turn sharp right, Distance: 13.7 meters, Time: 9.9 seconds
Name: -, Instruction: Turn left, Distance: 9.1 meters, Time: 6.6 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
