Name: شارع على لبيب, Instruction: Head north on شارع على لبيب, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 113.3 meters, Time: 81.6 seconds
Name: شارع الشيخ محمد الجزاوى, Instruction: Enter the roundabout and take the 2nd exit onto شارع الشيخ محمد الجزاوى, Distance: 156.0 meters, Time: 112.3 seconds
Name: -, Instruction: Turn right, Distance: 35.2 meters, Time: 25.4 seconds
Name: -, Instruction: Turn left, Distance: 64.6 meters, Time: 46.5 seconds
Name: شارع عبدالرحمن بيصار, Instruction: Turn right onto شارع عبدالرحمن بيصار, Distance: 82.6 meters, Time: 59.5 seconds
Name: شارع أم كلثوم, Instruction: Turn left onto شارع أم كلثوم, Distance: 10.6 meters, Time: 7.7 seconds
Name: شارع عبدالرحمن بيصار, Instruction: Turn right onto شارع عبدالرحمن بيصار, Distance: 14.9 meters, Time: 10.7 seconds
Name: شارع أم كلثوم, Instruction: Turn left onto شارع أم كلثوم, Distance: 43.9 meters, Time: 31.6 seconds
Name: شارع أم كلثوم, Instruction: Continue straight onto شارع أم كلثوم, Distance: 151.2 meters, Time: 108.9 seconds
Name: شارع أم كلثوم, Instruction: Keep left onto شارع أم كلثوم, Distance: 71.7 meters, Time: 51.6 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
