Name: شارع عبد الحميد الكاتب, Instruction: Head southeast on شارع عبد الحميد الكاتب, Distance: 65.1 meters, Time: 46.9 seconds
Name: شارع الشهيد كريم وجيه سيف, Instruction: Turn left onto شارع الشهيد كريم وجيه سيف, Distance: 65.2 meters, Time: 46.9 seconds
Name: شارع النوبرى, Instruction: Turn right onto شارع النوبرى, Distance: 88.6 meters, Time: 63.8 seconds
Name: شارع الشهيد نبيل شكرى, Instruction: Turn left onto شارع الشهيد نبيل شكرى, Distance: 10.0 meters, Time: 7.2 seconds
Name: شارع النوبرى, Instruction: Turn right onto شارع النوبرى, Distance: 412.6 meters, Time: 297.1 seconds
Name: -, Instruction: Turn left, Distance: 26.9 meters, Time: 19.4 seconds
Name: -, Instruction: Turn right, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 6.9 meters, Time: 5.0 seconds
Name: -, Instruction: Turn left, Distance: 29.1 meters, Time: 20.9 seconds
Name: شارع سيبوبة المصرى, Instruction: Turn right onto شارع سيبوبة المصرى, Distance: 109.4 meters, Time: 78.8 seconds
Name: محور محمد فريد, Instruction: Turn right onto محور محمد فريد, Distance: 41.5 meters, Time: 29.9 seconds
Name: -, Instruction: Turn left, Distance: 16.5 meters, Time: 11.9 seconds
Name: محور محمد فريد, Instruction: Turn right onto محور محمد فريد, Distance: 20.4 meters, Time: 14.7 seconds
Name: شارع الشهيد عبد العزيز الشعراوى, Instruction: Turn left onto شارع الشهيد عبد العزيز الشعراوى, Distance: 163.8 meters, Time: 117.9 seconds
Name: شارع الشهيد السيد التهامى, Instruction: Turn left onto شارع الشهيد السيد التهامى, Distance: 11.1 meters, Time: 8.0 seconds
Name: شارع 31, Instruction: Turn right onto شارع 31, Distance: 125.0 meters, Time: 90.0 seconds
Name: شارع الشيخ نور الدين محمود, Instruction: Turn left onto شارع الشيخ نور الدين محمود, Distance: 247.2 meters, Time: 178.0 seconds
Name: -, Instruction: Turn right, Distance: 70.9 meters, Time: 51.1 seconds
Name: شارع الشهيد مصطفى السيد, Instruction: Turn left onto شارع الشهيد مصطفى السيد, Distance: 146.1 meters, Time: 105.2 seconds
Name: شارع الشهيد مصطفى السيد, Instruction: Keep right onto شارع الشهيد مصطفى السيد, Distance: 46.1 meters, Time: 33.2 seconds
Name: شارع على بن ابى طالب, Instruction: Turn right onto شارع على بن ابى طالب, Distance: 52.8 meters, Time: 38.0 seconds
Name: شارع على بن ابى طالب, Instruction: Enter the roundabout and take the 4th exit onto شارع على بن ابى طالب, Distance: 111.4 meters, Time: 80.2 seconds
Name: شارع ابن سمجون, Instruction: Turn left onto شارع ابن سمجون, Distance: 154.9 meters, Time: 111.5 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.2 seconds
Name: شارع ابن سمجون, Instruction: Turn left onto شارع ابن سمجون, Distance: 167.7 meters, Time: 120.7 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 65.0 meters, Time: 46.8 seconds
Name: شارع امل دنقل, Instruction: Turn right onto شارع امل دنقل, Distance: 4.2 meters, Time: 3.0 seconds
Name: شارع ابو قاسم المهدى, Instruction: Turn left onto شارع ابو قاسم المهدى, Distance: 138.2 meters, Time: 99.5 seconds
Name: -, Instruction: Turn left, Distance: 88.6 meters, Time: 63.8 seconds
Name: -, Instruction: Turn right, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
