Name: شارع اسماعيل, Instruction: Head east on شارع اسماعيل, Distance: 16.0 meters, Time: 11.5 seconds
Name: شارع المغرية, Instruction: Turn right onto شارع المغرية, Distance: 94.3 meters, Time: 67.9 seconds
Name: شارع حافظ, Instruction: Turn right onto شارع حافظ, Distance: 47.4 meters, Time: 34.1 seconds
Name: شارع حافظ, Instruction: Turn slight left onto شارع حافظ, Distance: 37.2 meters, Time: 26.8 seconds
Name: -, Instruction: Turn sharp right, Distance: 135.6 meters, Time: 97.6 seconds
Name: -, Instruction: Turn left, Distance: 113.8 meters, Time: 82.0 seconds
Name: -, Instruction: Turn right, Distance: 68.1 meters, Time: 49.0 seconds
Name: شارع بن الفارض, Instruction: Turn left onto شارع بن الفارض, Distance: 146.4 meters, Time: 105.4 seconds
Name: -, Instruction: Turn right, Distance: 220.7 meters, Time: 158.9 seconds
Name: شارع حامد بك محمد, Instruction: Turn right onto شارع حامد بك محمد, Distance: 185.4 meters, Time: 133.5 seconds
Name: شارع ابو الليل, Instruction: Turn left onto شارع ابو الليل, Distance: 19.6 meters, Time: 14.1 seconds
Name: شارع ربيع, Instruction: Turn right onto شارع ربيع, Distance: 149.8 meters, Time: 107.8 seconds
Name: شارع الفلكي, Instruction: Turn sharp left onto شارع الفلكي, Distance: 190.6 meters, Time: 137.2 seconds
Name: شارع محسن محمود, Instruction: Turn slight left onto شارع محسن محمود, Distance: 35.9 meters, Time: 25.9 seconds
Name: شارع محسن محمود, Instruction: Keep right onto شارع محسن محمود, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn right, Distance: 94.3 meters, Time: 67.9 seconds
Name: طريق الاوتوستراد, Instruction: Turn right onto طريق الاوتوستراد, Distance: 309.1 meters, Time: 222.5 seconds
Name: -, Instruction: Turn right, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn right, Distance: 105.8 meters, Time: 76.2 seconds
Name: -, Instruction: Turn left, Distance: 49.2 meters, Time: 35.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
