Name: شارع عباد الرحمن, Instruction: Head south on شارع عباد الرحمن, Distance: 345.6 meters, Time: 248.8 seconds
Name: شارع رئاسه الجمهوريه, Instruction: Turn left onto شارع رئاسه الجمهوريه, Distance: 138.5 meters, Time: 99.7 seconds
Name: -, Instruction: Turn right, Distance: 398.7 meters, Time: 287.1 seconds
Name: -, Instruction: Turn right, Distance: 115.5 meters, Time: 83.1 seconds
Name: -, Instruction: Turn left, Distance: 59.0 meters, Time: 42.5 seconds
Name: -, Instruction: Turn right, Distance: 256.4 meters, Time: 184.6 seconds
Name: -, Instruction: Keep right, Distance: 126.2 meters, Time: 90.9 seconds
Name: شارع أبو غازي العمومي, Instruction: Turn right onto شارع أبو غازي العمومي, Distance: 92.8 meters, Time: 66.8 seconds
Name: شارع عمر بن عبد العزيز, Instruction: Turn left onto شارع عمر بن عبد العزيز, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Turn left, Distance: 112.3 meters, Time: 80.8 seconds
Name: شارع سيد عوده, Instruction: Turn right onto شارع سيد عوده, Distance: 28.5 meters, Time: 20.5 seconds
Name: شارع عمر بن عبد العزيز, Instruction: Turn left onto شارع عمر بن عبد العزيز, Distance: 299.6 meters, Time: 215.7 seconds
Name: -, Instruction: Turn left, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Turn right, Distance: 129.4 meters, Time: 93.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
