Name: شارع 33, Instruction: Head northeast on شارع 33, Distance: 54.1 meters, Time: 39.0 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 409.3 meters, Time: 294.7 seconds
Name: -, Instruction: Turn left, Distance: 91.6 meters, Time: 66.0 seconds
Name: محور نجيب محفوظ الجانبى, Instruction: Turn slight right onto محور نجيب محفوظ الجانبى, Distance: 492.4 meters, Time: 354.5 seconds
Name: محور نجيب محفوظ, Instruction: Turn slight right onto محور نجيب محفوظ, Distance: 176.2 meters, Time: 126.9 seconds
Name: محور مصطفى كامل, Instruction: Turn slight right onto محور مصطفى كامل, Distance: 216.9 meters, Time: 156.2 seconds
Name: -, Instruction: Turn left, Distance: 35.0 meters, Time: 25.2 seconds
Name: محور مصطفى كامل, Instruction: Turn slight left onto محور مصطفى كامل, Distance: 81.2 meters, Time: 58.4 seconds
Name: -, Instruction: Turn right, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 9.8 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Turn left, Distance: 24.5 meters, Time: 17.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
