Name: Ploughmans Crescent, Instruction: Head west on Ploughmans Crescent, Distance: 62.3 meters, Time: 44.9 seconds
Name: Summer Greens Drive, Instruction: Turn sharp right onto Summer Greens Drive, Distance: 241.8 meters, Time: 174.1 seconds
Name: Summer Greens Drive, Instruction: Keep right onto Summer Greens Drive, Distance: 13.6 meters, Time: 9.8 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 3rd exit onto Summer Greens Drive, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 103.0 meters, Time: 74.1 seconds
Name: Summer Greens Drive, Instruction: Turn right onto Summer Greens Drive, Distance: 21.5 meters, Time: 15.5 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 1st exit onto Summer Greens Drive, Distance: 181.7 meters, Time: 130.8 seconds
Name: Summer Greens Drive, Instruction: Keep left onto Summer Greens Drive, Distance: 335.2 meters, Time: 241.3 seconds
Name: Summer Greens Drive, Instruction: Keep right onto Summer Greens Drive, Distance: 104.9 meters, Time: 75.5 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 113.6 meters, Time: 81.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
