Name: Justin Way, Instruction: Head west on Justin Way, Distance: 42.2 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 95.2 meters, Time: 68.5 seconds
Name: Kevin Avenue, Instruction: Turn right onto Kevin Avenue, Distance: 92.0 meters, Time: 66.2 seconds
Name: -, Instruction: Keep left, Distance: 91.1 meters, Time: 65.6 seconds
Name: Hector Avenue, Instruction: Turn right onto Hector Avenue, Distance: 57.5 meters, Time: 41.4 seconds
Name: Marius Road, Instruction: Turn left onto Marius Road, Distance: 72.4 meters, Time: 52.1 seconds
Name: -, Instruction: Turn right, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn slight right, Distance: 444.5 meters, Time: 320.0 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.9 seconds
Name: Stephen Road, Instruction: Turn left onto Stephen Road, Distance: 110.1 meters, Time: 79.3 seconds
Name: -, Instruction: Arrive at Stephen Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
