Name: Rushmere, Instruction: Head south on Rushmere, Distance: 21.9 meters, Time: 15.8 seconds
Name: Doordrift Road, Instruction: Turn left onto Doordrift Road, Distance: 167.8 meters, Time: 120.8 seconds
Name: Students Way, Instruction: Turn left onto Students Way, Distance: 199.4 meters, Time: 143.6 seconds
Name: -, Instruction: Turn left, Distance: 114.5 meters, Time: 82.5 seconds
Name: Denbigh Road, Instruction: Turn right onto Denbigh Road, Distance: 400.9 meters, Time: 288.7 seconds
Name: -, Instruction: Turn left, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn right, Distance: 14.2 meters, Time: 10.2 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 46.7 meters, Time: 33.6 seconds
Name: -, Instruction: Keep left, Distance: 54.0 meters, Time: 38.9 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn right, Distance: 401.3 meters, Time: 289.0 seconds
Name: Buren Road, Instruction: Turn sharp left onto Buren Road, Distance: 250.8 meters, Time: 180.6 seconds
Name: -, Instruction: Turn right, Distance: 56.1 meters, Time: 40.4 seconds
Name: Alde Road, Instruction: Turn slight right onto Alde Road, Distance: 170.4 meters, Time: 122.7 seconds
Name: Jan Smuts Road, Instruction: Continue straight onto Jan Smuts Road, Distance: 245.6 meters, Time: 176.8 seconds
Name: -, Instruction: Arrive at Jan Smuts Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
