Name: Colesburg Street, Instruction: Head south on Colesburg Street, Distance: 176.5 meters, Time: 127.1 seconds
Name: -, Instruction: Turn left, Distance: 110.3 meters, Time: 79.4 seconds
Name: Texel Street, Instruction: Turn sharp right onto Texel Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: Elliot Street, Instruction: Turn left onto Elliot Street, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 254.9 meters, Time: 183.5 seconds
Name: Cathcart Street, Instruction: Turn left onto Cathcart Street, Distance: 12.3 meters, Time: 8.8 seconds
Name: Jan van Riebeeck Avenue, Instruction: Turn right onto Jan van Riebeeck Avenue, Distance: 21.4 meters, Time: 15.4 seconds
Name: Jan van Riebeeck Avenue, Instruction: Keep left onto Jan van Riebeeck Avenue, Distance: 23.9 meters, Time: 17.2 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn left, Distance: 852.7 meters, Time: 613.9 seconds
Name: -, Instruction: Turn slight right, Distance: 427.3 meters, Time: 307.6 seconds
Name: -, Instruction: Turn left, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Turn right, Distance: 34.0 meters, Time: 24.5 seconds
Name: -, Instruction: Turn slight left, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Turn left, Distance: 55.1 meters, Time: 39.7 seconds
Name: 15th Avenue, Instruction: Turn left onto 15th Avenue, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 93.5 meters, Time: 67.3 seconds
Name: -, Instruction: Turn right, Distance: 159.5 meters, Time: 114.8 seconds
Name: Homberg Street, Instruction: Turn left onto Homberg Street, Distance: 12.0 meters, Time: 8.6 seconds
Name: 12th Avenue, Instruction: Turn right onto 12th Avenue, Distance: 65.8 meters, Time: 47.3 seconds
Name: -, Instruction: Turn right, Distance: 60.8 meters, Time: 43.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
