Name: Coniston Place, Instruction: Head east on Coniston Place, Distance: 37.5 meters, Time: 27.0 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 85.2 meters, Time: 61.4 seconds
Name: Lonedown Road, Instruction: Turn right onto Lonedown Road, Distance: 1132.7 meters, Time: 815.5 seconds
Name: Greenturf Road, Instruction: Turn left onto Greenturf Road, Distance: 572.2 meters, Time: 412.0 seconds
Name: -, Instruction: Turn right, Distance: 213.0 meters, Time: 153.3 seconds
Name: -, Instruction: Turn right, Distance: 17.1 meters, Time: 12.3 seconds
Name: -, Instruction: Turn left, Distance: 86.0 meters, Time: 61.9 seconds
Name: Silica Road, Instruction: Turn right onto Silica Road, Distance: 431.3 meters, Time: 310.6 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Keep left, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Keep left, Distance: 173.9 meters, Time: 125.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
