Name: Lochiel Road, Instruction: Head southwest on Lochiel Road, Distance: 158.8 meters, Time: 114.4 seconds
Name: -, Instruction: Continue straight, Distance: 291.0 meters, Time: 209.5 seconds
Name: -, Instruction: Turn right, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Turn left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn slight left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn right, Distance: 146.3 meters, Time: 105.4 seconds
Name: -, Instruction: Turn slight left, Distance: 77.4 meters, Time: 55.8 seconds
Name: -, Instruction: Turn slight right, Distance: 35.5 meters, Time: 25.5 seconds
Name: -, Instruction: Keep right, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Keep left, Distance: 98.6 meters, Time: 71.0 seconds
Name: -, Instruction: Keep right, Distance: 408.5 meters, Time: 294.1 seconds
Name: Campground Road, Instruction: Turn right onto Campground Road, Distance: 109.7 meters, Time: 79.0 seconds
Name: Kelvin Road, Instruction: Turn left onto Kelvin Road, Distance: 268.7 meters, Time: 193.4 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.5 seconds
Name: Lower Kelvin Road, Instruction: Turn left onto Lower Kelvin Road, Distance: 144.6 meters, Time: 104.1 seconds
Name: Boundary Road, Instruction: Turn left onto Boundary Road, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn right, Distance: 149.7 meters, Time: 107.8 seconds
Name: Banks Road, Instruction: Turn right onto Banks Road, Distance: 273.2 meters, Time: 196.7 seconds
Name: -, Instruction: Arrive at Banks Road, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
