Name: Wiersma Road, Instruction: Head east on Wiersma Road, Distance: 34.6 meters, Time: 24.9 seconds
Name: Haldane Road, Instruction: Turn right onto Haldane Road, Distance: 22.7 meters, Time: 16.3 seconds
Name: Wilhelmina Street, Instruction: Turn sharp left onto Wilhelmina Street, Distance: 76.8 meters, Time: 55.3 seconds
Name: Roslyn Road, Instruction: Turn left onto Roslyn Road, Distance: 145.9 meters, Time: 105.0 seconds
Name: Rosendale Road, Instruction: Turn right onto Rosendale Road, Distance: 53.6 meters, Time: 38.6 seconds
Name: Toll Road, Instruction: Turn left onto Toll Road, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn left, Distance: 95.6 meters, Time: 68.9 seconds
Name: Belmont Road, M92, Instruction: Turn right onto Belmont Road, M92, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Keep right, Distance: 494.6 meters, Time: 356.1 seconds
Name: -, Instruction: Keep right, Distance: 61.4 meters, Time: 44.2 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn slight right, Distance: 172.9 meters, Time: 124.5 seconds
Name: -, Instruction: Turn left, Distance: 5.2 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 53.2 meters, Time: 38.3 seconds
Name: -, Instruction: Keep right, Distance: 45.2 meters, Time: 32.5 seconds
Name: -, Instruction: Turn right, Distance: 150.6 meters, Time: 108.4 seconds
Name: -, Instruction: Keep right, Distance: 372.5 meters, Time: 268.2 seconds
Name: -, Instruction: Keep right, Distance: 16.7 meters, Time: 12.0 seconds
Name: -, Instruction: Turn slight right, Distance: 38.9 meters, Time: 28.0 seconds
Name: -, Instruction: Turn left, Distance: 54.6 meters, Time: 39.3 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Turn right, Distance: 415.3 meters, Time: 299.0 seconds
Name: Loch Road, Instruction: Turn left onto Loch Road, Distance: 8.3 meters, Time: 6.0 seconds
Name: Loch Road, Instruction: Continue straight onto Loch Road, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn left, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
