Name: Ploughmans Crescent, Instruction: Head west on Ploughmans Crescent, Distance: 62.3 meters, Time: 44.9 seconds
Name: Summer Greens Drive, Instruction: Turn sharp right onto Summer Greens Drive, Distance: 241.8 meters, Time: 174.1 seconds
Name: Summer Greens Drive, Instruction: Keep right onto Summer Greens Drive, Distance: 13.6 meters, Time: 9.8 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 3rd exit onto Summer Greens Drive, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 103.0 meters, Time: 74.1 seconds
Name: Summer Greens Drive, Instruction: Turn right onto Summer Greens Drive, Distance: 21.5 meters, Time: 15.5 seconds
Name: Summer Greens Drive, Instruction: Enter the roundabout and take the 1st exit onto Summer Greens Drive, Distance: 145.0 meters, Time: 104.4 seconds
Name: -, Instruction: Keep right, Distance: 61.6 meters, Time: 44.3 seconds
Name: -, Instruction: Turn left, Distance: 286.8 meters, Time: 206.5 seconds
Name: Station Road, Instruction: Turn sharp right onto Station Road, Distance: 313.7 meters, Time: 225.8 seconds
Name: Railway Road, Instruction: Turn left onto Railway Road, Distance: 202.8 meters, Time: 146.0 seconds
Name: Montague Drive, Instruction: Turn right onto Montague Drive, Distance: 425.8 meters, Time: 306.6 seconds
Name: -, Instruction: Arrive at Montague Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
