Name: Wiersma Road, Instruction: Head east on Wiersma Road, Distance: 34.6 meters, Time: 24.9 seconds
Name: Haldane Road, Instruction: Turn right onto Haldane Road, Distance: 22.7 meters, Time: 16.3 seconds
Name: Wilhelmina Street, Instruction: Turn sharp left onto Wilhelmina Street, Distance: 76.8 meters, Time: 55.3 seconds
Name: Roslyn Road, Instruction: Turn sharp right onto Roslyn Road, Distance: 37.5 meters, Time: 27.0 seconds
Name: Roslyn Road, Instruction: Turn slight right onto Roslyn Road, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Turn left, Distance: 37.4 meters, Time: 26.9 seconds
Name: Liesbeek River Trail, Instruction: Turn right onto Liesbeek River Trail, Distance: 113.2 meters, Time: 81.5 seconds
Name: Rouwkoop Road, Instruction: Turn left onto Rouwkoop Road, Distance: 6.3 meters, Time: 4.5 seconds
Name: Ednam Road, Instruction: Turn right onto Ednam Road, Distance: 10.2 meters, Time: 7.3 seconds
Name: Ednam Road, Instruction: Keep left onto Ednam Road, Distance: 187.0 meters, Time: 134.6 seconds
Name: Ednam Road, Instruction: Turn slight right onto Ednam Road, Distance: 96.4 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 74.0 meters, Time: 53.3 seconds
Name: Harrow Road, Instruction: Turn right onto Harrow Road, Distance: 105.6 meters, Time: 76.0 seconds
Name: -, Instruction: Turn left, Distance: 27.0 meters, Time: 19.5 seconds
Name: Kelvin Road, Instruction: Turn right onto Kelvin Road, Distance: 268.7 meters, Time: 193.4 seconds
Name: Campground Road, Instruction: Turn right onto Campground Road, Distance: 67.9 meters, Time: 48.9 seconds
Name: Campground Road, Instruction: Keep left onto Campground Road, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn left, Distance: 408.5 meters, Time: 294.1 seconds
Name: -, Instruction: Keep left, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Keep right, Distance: 36.3 meters, Time: 26.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
