Name: Kimberley Street, Instruction: Head south on Kimberley Street, Distance: 27.8 meters, Time: 20.0 seconds
Name: -, Instruction: Turn right, Distance: 74.8 meters, Time: 53.8 seconds
Name: Caledon Street, Instruction: Turn left onto Caledon Street, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: Townsend Street, Instruction: Turn right onto Townsend Street, Distance: 554.8 meters, Time: 399.4 seconds
Name: Smartt Road, Instruction: Turn right onto Smartt Road, Distance: 523.5 meters, Time: 376.9 seconds
Name: A.G. Visser Street, Instruction: Turn left onto A.G. Visser Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 103.7 meters, Time: 74.6 seconds
Name: -, Instruction: Keep right, Distance: 114.7 meters, Time: 82.6 seconds
Name: Alice Street, Instruction: Turn slight left onto Alice Street, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 25.6 meters, Time: 18.4 seconds
Name: -, Instruction: Turn right, Distance: 78.7 meters, Time: 56.6 seconds
Name: Ficus Street, Instruction: Turn slight left onto Ficus Street, Distance: 49.5 meters, Time: 35.6 seconds
Name: -, Instruction: Arrive at Ficus Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
