Name: East Martin Luther King Jr Boulevard, Instruction: Head west on East Martin Luther King Jr Boulevard, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 177.9 meters, Time: 128.1 seconds
Name: -, Instruction: Turn slight right, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 94.3 meters, Time: 67.9 seconds
Name: -, Instruction: Turn left, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn right, Distance: 87.2 meters, Time: 62.8 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: East 33rd Avenue, Instruction: Turn left onto East 33rd Avenue, Distance: 72.0 meters, Time: 51.9 seconds
Name: -, Instruction: Turn right, Distance: 45.0 meters, Time: 32.4 seconds
Name: -, Instruction: Turn left, Distance: 63.3 meters, Time: 45.6 seconds
Name: Hudson Street, Instruction: Turn right onto Hudson Street, Distance: 357.5 meters, Time: 257.4 seconds
Name: East 36th Avenue, Instruction: Turn left onto East 36th Avenue, Distance: 49.5 meters, Time: 35.7 seconds
Name: Grape Street, Instruction: Turn right onto Grape Street, Distance: 193.8 meters, Time: 139.6 seconds
Name: -, Instruction: Arrive at Grape Street, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
