Name: Vine Street, Instruction: Head north on Vine Street, Distance: 33.1 meters, Time: 23.8 seconds
Name: -, Instruction: Turn left, Distance: 197.1 meters, Time: 141.9 seconds
Name: High Street, Instruction: Turn right onto High Street, Distance: 178.8 meters, Time: 128.8 seconds
Name: -, Instruction: Turn left, Distance: 41.8 meters, Time: 30.1 seconds
Name: -, Instruction: Turn right, Distance: 19.5 meters, Time: 14.0 seconds
Name: -, Instruction: Turn left, Distance: 37.0 meters, Time: 26.6 seconds
Name: 8th and  High Street foot path to pavillion, Instruction: Turn slight left onto 8th and  High Street foot path to pavillion, Distance: 75.8 meters, Time: 54.5 seconds
Name: -, Instruction: Turn right, Distance: 39.5 meters, Time: 28.4 seconds
Name: -, Instruction: Turn left, Distance: 311.8 meters, Time: 224.5 seconds
Name: -, Instruction: Turn left, Distance: 253.2 meters, Time: 182.3 seconds
Name: -, Instruction: Turn right, Distance: 20.0 meters, Time: 14.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
