Name: 栄三条通り, Instruction: Head southwest on 栄三条通り, Distance: 30.2 meters, Time: 21.7 seconds
Name: -, Instruction: Turn left, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Turn right, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn left, Distance: 99.2 meters, Time: 71.4 seconds
Name: 栄五条通り, Instruction: Continue straight onto 栄五条通り, Distance: 932.2 meters, Time: 671.1 seconds
Name: -, Instruction: Turn left, Distance: 725.8 meters, Time: 522.5 seconds
Name: -, Instruction: Turn right, Distance: 202.3 meters, Time: 145.6 seconds
Name: -, Instruction: Turn left, Distance: 68.3 meters, Time: 49.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 56.8 meters, Time: 40.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 51.1 meters, Time: 36.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
