Name: グルメ通, Instruction: Head east on グルメ通, Distance: 137.9 meters, Time: 99.3 seconds
Name: -, Instruction: Turn left, Distance: 127.0 meters, Time: 91.4 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Turn left, Distance: 10.2 meters, Time: 7.4 seconds
Name: -, Instruction: Turn left, Distance: 24.2 meters, Time: 17.5 seconds
Name: -, Instruction: Turn slight left, Distance: 123.6 meters, Time: 89.0 seconds
Name: -, Instruction: Turn slight right, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Keep left, Distance: 107.6 meters, Time: 77.5 seconds
Name: -, Instruction: Turn left, Distance: 14.4 meters, Time: 10.4 seconds
Name: -, Instruction: Turn left, Distance: 3.1 meters, Time: 2.3 seconds
Name: We Road, Instruction: Turn right onto We Road, Distance: 42.6 meters, Time: 30.7 seconds
Name: We Road, Instruction: Turn right onto We Road, Distance: 104.6 meters, Time: 75.3 seconds
Name: -, Instruction: Turn right, Distance: 33.5 meters, Time: 24.1 seconds
Name: -, Instruction: Turn left, Distance: 397.7 meters, Time: 286.3 seconds
Name: -, Instruction: Turn right, Distance: 58.6 meters, Time: 42.2 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.8 seconds
Name: -, Instruction: Turn left, Distance: 243.2 meters, Time: 175.1 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn left, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
