Name: Portia Way, Instruction: Head north on Portia Way, Distance: 29.9 meters, Time: 21.5 seconds
Name: Bow Common Lane, Instruction: Turn left onto Bow Common Lane, Distance: 126.2 meters, Time: 90.9 seconds
Name: -, Instruction: Turn right, Distance: 164.2 meters, Time: 118.3 seconds
Name: -, Instruction: Turn left, Distance: 18.5 meters, Time: 13.3 seconds
Name: Burdett Road, Instruction: Turn right onto Burdett Road, Distance: 207.0 meters, Time: 149.0 seconds
Name: -, Instruction: Turn right, Distance: 37.0 meters, Time: 26.7 seconds
Name: Mile End Road, Instruction: Turn right onto Mile End Road, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn left, Distance: 20.8 meters, Time: 15.0 seconds
Name: -, Instruction: Turn right, Distance: 14.6 meters, Time: 10.5 seconds
Name: -, Instruction: Keep left, Distance: 11.3 meters, Time: 8.2 seconds
Name: -, Instruction: Keep left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
