Name: Leander Road, Instruction: Head southeast on Leander Road, Distance: 376.2 meters, Time: 270.9 seconds
Name: -, Instruction: Turn left, Distance: 94.6 meters, Time: 68.1 seconds
Name: -, Instruction: Turn left, Distance: 86.4 meters, Time: 62.2 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn sharp left, Distance: 57.4 meters, Time: 41.4 seconds
Name: -, Instruction: Turn right, Distance: 83.8 meters, Time: 60.3 seconds
Name: -, Instruction: Turn right, Distance: 27.9 meters, Time: 20.1 seconds
Name: -, Instruction: Turn left, Distance: 90.7 meters, Time: 65.3 seconds
Name: -, Instruction: Keep left, Distance: 167.4 meters, Time: 120.6 seconds
Name: -, Instruction: Turn left, Distance: 6.6 meters, Time: 4.8 seconds
Name: -, Instruction: Turn left, Distance: 13.5 meters, Time: 9.7 seconds
Name: -, Instruction: Turn left, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn right, Distance: 22.6 meters, Time: 16.3 seconds
Name: -, Instruction: Keep right, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
