Name: Newent Close, Instruction: Head west on Newent Close, Distance: 15.4 meters, Time: 11.1 seconds
Name: Coleman Road, Instruction: Turn right onto Coleman Road, Distance: 146.5 meters, Time: 105.5 seconds
Name: Wells Way, Instruction: Turn right onto Wells Way, Distance: 134.5 meters, Time: 96.9 seconds
Name: -, Instruction: Turn left, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Turn left, Distance: 36.0 meters, Time: 25.9 seconds
Name: -, Instruction: Keep left, Distance: 88.2 meters, Time: 63.5 seconds
Name: -, Instruction: Turn left, Distance: 273.8 meters, Time: 197.1 seconds
Name: -, Instruction: Keep left, Distance: 21.7 meters, Time: 15.6 seconds
Name: -, Instruction: Turn left, Distance: 31.6 meters, Time: 22.8 seconds
Name: Addington Square, Instruction: Turn right onto Addington Square, Distance: 106.7 meters, Time: 76.9 seconds
Name: Addington Square, Instruction: Turn left onto Addington Square, Distance: 428.4 meters, Time: 308.4 seconds
Name: Thompson Avenue, Instruction: Turn left onto Thompson Avenue, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn right, Distance: 36.4 meters, Time: 26.2 seconds
Name: Sir John Kirk Close, Instruction: Continue straight onto Sir John Kirk Close, Distance: 46.9 meters, Time: 33.8 seconds
Name: -, Instruction: Keep left, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn left, Distance: 11.3 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 175.3 meters, Time: 126.2 seconds
Name: -, Instruction: Keep left, Distance: 27.7 meters, Time: 19.9 seconds
Name: Grimsel Path, Instruction: Continue straight onto Grimsel Path, Distance: 28.6 meters, Time: 20.6 seconds
Name: Warham Street, Instruction: Turn left onto Warham Street, Distance: 51.2 meters, Time: 36.9 seconds
Name: -, Instruction: Turn right, Distance: 11.7 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 193.4 meters, Time: 139.2 seconds
Name: -, Instruction: Turn left, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Turn right, Distance: 43.3 meters, Time: 31.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
