Name: Warwick Avenue, Instruction: Head southeast on Warwick Avenue, Distance: 196.8 meters, Time: 141.7 seconds
Name: Maida Avenue, Instruction: Turn left onto Maida Avenue, Distance: 163.1 meters, Time: 117.4 seconds
Name: Park Place Villas, Instruction: Turn right onto Park Place Villas, Distance: 608.9 meters, Time: 438.4 seconds
Name: -, Instruction: Keep right, Distance: 20.3 meters, Time: 14.6 seconds
Name: -, Instruction: Turn right, Distance: 38.3 meters, Time: 27.6 seconds
Name: -, Instruction: Turn left, Distance: 43.1 meters, Time: 31.0 seconds
Name: -, Instruction: Turn left, Distance: 106.7 meters, Time: 76.9 seconds
Name: -, Instruction: Turn slight right, Distance: 42.6 meters, Time: 30.7 seconds
Name: -, Instruction: Turn left, Distance: 40.1 meters, Time: 28.8 seconds
Name: Edgware Road, Instruction: Turn right onto Edgware Road, Distance: 60.1 meters, Time: 43.2 seconds
Name: Chapel Street, Instruction: Turn left onto Chapel Street, Distance: 226.9 meters, Time: 163.4 seconds
Name: -, Instruction: Turn right, Distance: 22.8 meters, Time: 16.4 seconds
Name: -, Instruction: Turn left, Distance: 29.2 meters, Time: 21.0 seconds
Name: -, Instruction: Keep right, Distance: 375.3 meters, Time: 270.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
