Name: Randolph Gardens, Instruction: Head southeast on Randolph Gardens, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Turn right, Distance: 284.7 meters, Time: 205.0 seconds
Name: -, Instruction: Turn left, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn left, Distance: 15.3 meters, Time: 11.0 seconds
Name: -, Instruction: Turn right, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 176.3 meters, Time: 126.9 seconds
Name: -, Instruction: Continue straight, Distance: 12.6 meters, Time: 9.1 seconds
Name: -, Instruction: Keep right, Distance: 50.8 meters, Time: 36.6 seconds
Name: -, Instruction: Keep left, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Turn left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn slight left, Distance: 9.8 meters, Time: 7.1 seconds
Name: Morshead Road, Instruction: Turn left onto Morshead Road, Distance: 131.9 meters, Time: 94.9 seconds
Name: Elgin Avenue, Instruction: Turn right onto Elgin Avenue, Distance: 11.2 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 17.5 meters, Time: 12.6 seconds
Name: -, Instruction: Turn right, Distance: 45.2 meters, Time: 32.6 seconds
Name: -, Instruction: Turn left, Distance: 5.9 meters, Time: 4.3 seconds
Name: Castellain Road, Instruction: Turn right onto Castellain Road, Distance: 489.7 meters, Time: 352.6 seconds
Name: Formosa Street, Instruction: Turn sharp right onto Formosa Street, Distance: 78.8 meters, Time: 56.8 seconds
Name: Formosa Street, B413, Instruction: Continue straight onto Formosa Street, B413, Distance: 7.0 meters, Time: 5.0 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 80.3 meters, Time: 57.8 seconds
Name: -, Instruction: Turn left, Distance: 15.7 meters, Time: 11.3 seconds
Name: -, Instruction: Turn left, Distance: 9.0 meters, Time: 6.5 seconds
Name: Formosa Street, Instruction: Turn right onto Formosa Street, Distance: 72.7 meters, Time: 52.3 seconds
Name: -, Instruction: Turn right, Distance: 18.7 meters, Time: 13.5 seconds
Name: -, Instruction: Continue straight, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 81.9 meters, Time: 59.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 92.8 meters, Time: 66.8 seconds
Name: Rowington Close, Instruction: Turn left onto Rowington Close, Distance: 3.7 meters, Time: 2.7 seconds
Name: Senior Street, Instruction: Turn right onto Senior Street, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 17.4 meters, Time: 12.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
