Name: Imperial College Road, Instruction: Head east on Imperial College Road, Distance: 66.5 meters, Time: 47.9 seconds
Name: Exhibition Road, Instruction: Turn left onto Exhibition Road, Distance: 398.6 meters, Time: 287.0 seconds
Name: West Carriage Drive, Instruction: Keep left onto West Carriage Drive, Distance: 12.9 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 3.4 meters, Time: 2.5 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.8 seconds
Name: Kensington Gore, Instruction: Turn right onto Kensington Gore, Distance: 40.3 meters, Time: 29.0 seconds
Name: -, Instruction: Turn right, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Continue straight, Distance: 82.9 meters, Time: 59.7 seconds
Name: -, Instruction: Keep right, Distance: 289.3 meters, Time: 208.3 seconds
Name: -, Instruction: Keep right, Distance: 176.2 meters, Time: 126.8 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn right, Distance: 76.1 meters, Time: 54.8 seconds
Name: -, Instruction: Continue straight, Distance: 508.4 meters, Time: 366.1 seconds
Name: -, Instruction: Keep right, Distance: 20.9 meters, Time: 15.1 seconds
Name: -, Instruction: Turn right, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn left, Distance: 25.8 meters, Time: 18.6 seconds
Name: Bayswater Road, Instruction: Turn left onto Bayswater Road, Distance: 3.3 meters, Time: 2.4 seconds
Name: -, Instruction: Turn right, Distance: 20.7 meters, Time: 14.9 seconds
Name: -, Instruction: Turn sharp left, Distance: 38.6 meters, Time: 27.8 seconds
Name: -, Instruction: Turn left, Distance: 196.6 meters, Time: 141.5 seconds
Name: -, Instruction: Turn left, Distance: 6.2 meters, Time: 4.5 seconds
Name: Sussex Gardens, Instruction: Turn sharp right onto Sussex Gardens, Distance: 62.9 meters, Time: 45.3 seconds
Name: Spring Street, Instruction: Turn left onto Spring Street, Distance: 158.6 meters, Time: 114.2 seconds
Name: -, Instruction: Turn right, Distance: 61.3 meters, Time: 44.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
