Name: Perimeade Road, Instruction: Head east on Perimeade Road, Distance: 91.8 meters, Time: 66.1 seconds
Name: Manor Farm Road, Instruction: Turn right onto Manor Farm Road, Distance: 30.8 meters, Time: 22.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 164.5 meters, Time: 118.4 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 6.7 meters, Time: 4.8 seconds
Name: Glacier Way, Instruction: Enter the roundabout and take the 1st exit onto Glacier Way, Distance: 117.4 meters, Time: 84.5 seconds
Name: Glacier Way, Instruction: Continue straight onto Glacier Way, Distance: 115.7 meters, Time: 83.3 seconds
Name: -, Instruction: Keep right, Distance: 79.5 meters, Time: 57.3 seconds
Name: Ealing Road, A4005, Instruction: Turn slight right onto Ealing Road, A4005, Distance: 73.9 meters, Time: 53.2 seconds
Name: Carlyon Road, Instruction: Turn left onto Carlyon Road, Distance: 289.5 meters, Time: 208.4 seconds
Name: Abbey Avenue, Instruction: Turn right onto Abbey Avenue, Distance: 315.9 meters, Time: 227.4 seconds
Name: Queensbury Road, Instruction: Turn slight left onto Queensbury Road, Distance: 44.3 meters, Time: 31.9 seconds
Name: -, Instruction: Turn right, Distance: 89.0 meters, Time: 64.1 seconds
Name: -, Instruction: Turn left, Distance: 73.1 meters, Time: 52.6 seconds
Name: Brent Crescent, Instruction: Turn right onto Brent Crescent, Distance: 42.6 meters, Time: 30.6 seconds
Name: Park Avenue, Instruction: Turn left onto Park Avenue, Distance: 76.7 meters, Time: 55.2 seconds
Name: -, Instruction: Turn right, Distance: 5.7 meters, Time: 4.1 seconds
Name: -, Instruction: Turn right, Distance: 17.3 meters, Time: 12.5 seconds
Name: -, Instruction: Turn left, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn left, Distance: 205.0 meters, Time: 147.6 seconds
Name: Twyford Abbey Road, Instruction: Turn left onto Twyford Abbey Road, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn right, Distance: 12.5 meters, Time: 9.0 seconds
Name: -, Instruction: Keep right, Distance: 239.4 meters, Time: 172.4 seconds
Name: -, Instruction: Turn left, Distance: 9.3 meters, Time: 6.7 seconds
Name: Lakeside Drive, Instruction: Turn right onto Lakeside Drive, Distance: 174.5 meters, Time: 125.6 seconds
Name: Lakeside Drive, Instruction: Keep right onto Lakeside Drive, Distance: 25.5 meters, Time: 18.3 seconds
Name: -, Instruction: Enter the roundabout and take the 3rd exit, Distance: 39.2 meters, Time: 28.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
