Name: North Countess Road, Instruction: Head south on North Countess Road, Distance: 33.0 meters, Time: 23.8 seconds
Name: Pennant Terrace, Instruction: Turn left onto Pennant Terrace, Distance: 102.9 meters, Time: 74.1 seconds
Name: Pennant Terrace, Instruction: Turn right onto Pennant Terrace, Distance: 8.1 meters, Time: 5.8 seconds
Name: Pennant Terrace, Instruction: Turn left onto Pennant Terrace, Distance: 541.2 meters, Time: 389.7 seconds
Name: Winns Avenue, Instruction: Turn left onto Winns Avenue, Distance: 30.0 meters, Time: 21.6 seconds
Name: Clay Path, Instruction: Turn slight left onto Clay Path, Distance: 10.4 meters, Time: 7.5 seconds
Name: -, Instruction: Turn slight right, Distance: 8.1 meters, Time: 5.9 seconds
Name: -, Instruction: Keep right, Distance: 15.1 meters, Time: 10.8 seconds
Name: -, Instruction: Continue straight, Distance: 34.8 meters, Time: 25.0 seconds
Name: -, Instruction: Keep right, Distance: 183.0 meters, Time: 131.8 seconds
Name: -, Instruction: Turn sharp left, Distance: 14.8 meters, Time: 10.7 seconds
Name: -, Instruction: Turn sharp right, Distance: 29.3 meters, Time: 21.1 seconds
Name: -, Instruction: Keep right, Distance: 20.5 meters, Time: 14.8 seconds
Name: -, Instruction: Turn right, Distance: 13.8 meters, Time: 9.9 seconds
Name: Forest Road, Instruction: Turn left onto Forest Road, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 11.6 meters, Time: 8.4 seconds
Name: Forest Road, Instruction: Turn left onto Forest Road, Distance: 149.2 meters, Time: 107.5 seconds
Name: -, Instruction: Turn right, Distance: 21.3 meters, Time: 15.3 seconds
Name: Hoe Street, Instruction: Turn left onto Hoe Street, Distance: 8.9 meters, Time: 6.4 seconds
Name: -, Instruction: Turn right, Distance: 42.4 meters, Time: 30.5 seconds
Name: Howard Road, Instruction: Turn right onto Howard Road, Distance: 237.1 meters, Time: 170.7 seconds
Name: Seaford Road, Instruction: Turn left onto Seaford Road, Distance: 153.4 meters, Time: 110.5 seconds
Name: The Drive, Instruction: Continue straight onto The Drive, Distance: 111.5 meters, Time: 80.3 seconds
Name: The Drive, Instruction: Turn right onto The Drive, Distance: 111.8 meters, Time: 80.5 seconds
Name: -, Instruction: Arrive at The Drive, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
