Name: Leyton Road, Instruction: Head southeast on Leyton Road, Distance: 237.9 meters, Time: 171.3 seconds
Name: Liberty Bridge Road, Instruction: Turn slight left onto Liberty Bridge Road, Distance: 159.4 meters, Time: 114.7 seconds
Name: -, Instruction: Turn left, Distance: 22.7 meters, Time: 16.3 seconds
Name: Celebration Avenue, Instruction: Continue straight onto Celebration Avenue, Distance: 88.1 meters, Time: 63.4 seconds
Name: -, Instruction: Turn left, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 18.8 meters, Time: 13.5 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Keep left, Distance: 41.6 meters, Time: 29.9 seconds
Name: -, Instruction: Turn slight left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 18.2 meters, Time: 13.1 seconds
Name: -, Instruction: Turn right, Distance: 4.7 meters, Time: 3.4 seconds
Name: International Square, Instruction: Turn left onto International Square, Distance: 103.6 meters, Time: 74.6 seconds
Name: Hitchcock Lane, Instruction: Turn left onto Hitchcock Lane, Distance: 125.9 meters, Time: 90.7 seconds
Name: -, Instruction: Turn right, Distance: 82.0 meters, Time: 59.0 seconds
Name: -, Instruction: Turn left, Distance: 10.3 meters, Time: 7.4 seconds
Name: -, Instruction: Turn right, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
