Name: Little Dorrit Court, Instruction: Head southeast on Little Dorrit Court, Distance: 98.9 meters, Time: 71.2 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn right, Distance: 16.2 meters, Time: 11.7 seconds
Name: -, Instruction: Turn right, Distance: 69.0 meters, Time: 49.7 seconds
Name: Tabard Street, Instruction: Turn left onto Tabard Street, Distance: 66.2 meters, Time: 47.6 seconds
Name: -, Instruction: Turn left, Distance: 30.7 meters, Time: 22.1 seconds
Name: -, Instruction: Turn left, Distance: 6.3 meters, Time: 4.5 seconds
Name: Tabard Street, Instruction: Turn slight left onto Tabard Street, Distance: 173.7 meters, Time: 125.0 seconds
Name: Tabard Street, Instruction: Continue straight onto Tabard Street, Distance: 549.3 meters, Time: 395.5 seconds
Name: Tabard Street, Instruction: Keep right onto Tabard Street, Distance: 29.3 meters, Time: 21.1 seconds
Name: Great Dover Street, A2, Instruction: Turn slight left onto Great Dover Street, A2, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn right, Distance: 7.9 meters, Time: 5.7 seconds
Name: -, Instruction: Turn left, Distance: 47.1 meters, Time: 33.9 seconds
Name: -, Instruction: Turn right, Distance: 28.5 meters, Time: 20.5 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 32.8 meters, Time: 23.6 seconds
Name: -, Instruction: Enter the roundabout and take the 2nd exit, Distance: 39.2 meters, Time: 28.2 seconds
Name: -, Instruction: Turn left, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Keep right, Distance: 120.5 meters, Time: 86.7 seconds
Name: Townsend Street, Instruction: Turn slight right onto Townsend Street, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Turn left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Continue straight, Distance: 19.8 meters, Time: 14.2 seconds
Name: -, Instruction: Continue straight, Distance: 9.7 meters, Time: 7.0 seconds
Name: -, Instruction: Continue straight, Distance: 117.6 meters, Time: 84.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
