Name: Linton Road, Instruction: Head south on Linton Road, Distance: 157.9 meters, Time: 113.7 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: London Road, Instruction: Turn right onto London Road, Distance: 91.0 meters, Time: 65.5 seconds
Name: -, Instruction: Turn right, Distance: 17.5 meters, Time: 12.6 seconds
Name: North Street, Instruction: Turn right onto North Street, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 210.1 meters, Time: 151.3 seconds
Name: Abbey Road, A123, Instruction: Turn left onto Abbey Road, A123, Distance: 14.4 meters, Time: 10.3 seconds
Name: -, Instruction: Turn right, Distance: 5.1 meters, Time: 3.7 seconds
Name: -, Instruction: Turn left, Distance: 30.6 meters, Time: 22.0 seconds
Name: Abbey Road, Instruction: Continue straight onto Abbey Road, Distance: 47.5 meters, Time: 34.2 seconds
Name: Abbey Road, Instruction: Turn left onto Abbey Road, Distance: 115.8 meters, Time: 83.3 seconds
Name: -, Instruction: Turn sharp right, Distance: 56.6 meters, Time: 40.7 seconds
Name: -, Instruction: Turn left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 91.9 meters, Time: 66.1 seconds
Name: -, Instruction: Turn left, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn slight left, Distance: 54.4 meters, Time: 39.1 seconds
Name: -, Instruction: Turn right, Distance: 14.8 meters, Time: 10.6 seconds
Name: -, Instruction: Turn left, Distance: 50.4 meters, Time: 36.3 seconds
Name: Fresh Wharf Road, Instruction: Turn left onto Fresh Wharf Road, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Keep left, Distance: 24.3 meters, Time: 17.5 seconds
Name: -, Instruction: Turn right, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Keep left, Distance: 55.3 meters, Time: 39.8 seconds
Name: Fresh Wharf Road, Instruction: Turn right onto Fresh Wharf Road, Distance: 5.7 meters, Time: 4.1 seconds
Name: Fresh Wharf Road, Instruction: Turn left onto Fresh Wharf Road, Distance: 62.4 meters, Time: 44.9 seconds
Name: Quay Road, Instruction: Turn right onto Quay Road, Distance: 29.4 meters, Time: 21.2 seconds
Name: -, Instruction: Turn left, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
