Name: Barratt Avenue, Instruction: Head north on Barratt Avenue, Distance: 7.0 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 228.7 meters, Time: 164.6 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn left, Distance: 7.4 meters, Time: 5.3 seconds
Name: -, Instruction: Keep right, Distance: 183.0 meters, Time: 131.7 seconds
Name: -, Instruction: Keep left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp left, Distance: 59.8 meters, Time: 43.1 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: Watsons Road, Instruction: Turn sharp right onto Watsons Road, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn left, Distance: 32.0 meters, Time: 23.0 seconds
Name: -, Instruction: Keep left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Keep right, Distance: 31.3 meters, Time: 22.5 seconds
Name: -, Instruction: Turn right, Distance: 20.6 meters, Time: 14.8 seconds
Name: Pellatt Grove, Instruction: Turn slight right onto Pellatt Grove, Distance: 344.1 meters, Time: 247.7 seconds
Name: Pellatt Grove, Instruction: Keep right onto Pellatt Grove, Distance: 20.9 meters, Time: 15.0 seconds
Name: Progress Way, Instruction: Turn slight right onto Progress Way, Distance: 7.6 meters, Time: 5.5 seconds
Name: -, Instruction: Turn left, Distance: 5.8 meters, Time: 4.2 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 68.4 meters, Time: 49.3 seconds
Name: Winkfield Road, Instruction: Turn right onto Winkfield Road, Distance: 17.2 meters, Time: 12.4 seconds
Name: -, Instruction: Turn left, Distance: 80.7 meters, Time: 58.1 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 3.9 meters, Time: 2.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
