Name: Calle Auriga, Instruction: Head north on Calle Auriga, Distance: 15.3 meters, Time: 11.0 seconds
Name: Avenida Río Churubusco, Instruction: Turn sharp left onto Avenida Río Churubusco, Distance: 153.5 meters, Time: 110.5 seconds
Name: -, Instruction: Turn sharp left, Distance: 485.1 meters, Time: 349.3 seconds
Name: -, Instruction: Turn slight left, Distance: 21.3 meters, Time: 15.3 seconds
Name: -, Instruction: Keep left, Distance: 19.9 meters, Time: 14.3 seconds
Name: -, Instruction: Keep left, Distance: 48.2 meters, Time: 34.7 seconds
Name: -, Instruction: Keep right, Distance: 1079.3 meters, Time: 777.1 seconds
Name: -, Instruction: Keep right, Distance: 190.0 meters, Time: 136.8 seconds
Name: -, Instruction: Keep left, Distance: 433.3 meters, Time: 312.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 3.4 meters, Time: 2.4 seconds
Name: Calle 5a Cerrada Las Rosas, Instruction: Turn sharp left onto Calle 5a Cerrada Las Rosas, Distance: 73.7 meters, Time: 53.1 seconds
Name: -, Instruction: Arrive at Calle 5a Cerrada Las Rosas, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
