Name: Avenida Universidad, Instruction: Head southwest on Avenida Universidad, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn right, Distance: 53.0 meters, Time: 38.2 seconds
Name: -, Instruction: Keep left, Distance: 220.1 meters, Time: 158.5 seconds
Name: Calle Margaritas, Instruction: Turn right onto Calle Margaritas, Distance: 1040.3 meters, Time: 749.0 seconds
Name: Calle Minerva, Instruction: Turn left onto Calle Minerva, Distance: 70.3 meters, Time: 50.6 seconds
Name: Calle Margaritas, Instruction: Turn right onto Calle Margaritas, Distance: 350.7 meters, Time: 252.5 seconds
Name: -, Instruction: Turn slight left, Distance: 120.1 meters, Time: 86.4 seconds
Name: Calle Hera, Instruction: Turn right onto Calle Hera, Distance: 67.7 meters, Time: 48.7 seconds
Name: Avenida Río Mixcoac, Instruction: Turn left onto Avenida Río Mixcoac, Distance: 10.0 meters, Time: 7.2 seconds
Name: -, Instruction: Turn right, Distance: 13.6 meters, Time: 9.8 seconds
Name: -, Instruction: Turn left, Distance: 303.0 meters, Time: 218.1 seconds
Name: -, Instruction: Turn right, Distance: 69.2 meters, Time: 49.8 seconds
Name: Avenida Insurgentes Sur, Instruction: Turn right onto Avenida Insurgentes Sur, Distance: 110.2 meters, Time: 79.4 seconds
Name: Calle Asturias, Instruction: Turn left onto Calle Asturias, Distance: 6.7 meters, Time: 4.8 seconds
Name: -, Instruction: Turn right, Distance: 249.0 meters, Time: 179.3 seconds
Name: -, Instruction: Turn right, Distance: 7.2 meters, Time: 5.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
