Name: Cda. Venustiano Carranza, Instruction: Head north on Cda. Venustiano Carranza, Distance: 53.6 meters, Time: 38.6 seconds
Name: Cuauhtémoc, Instruction: Keep right onto Cuauhtémoc, Distance: 75.5 meters, Time: 54.4 seconds
Name: Bajada del Cerrito, Instruction: Turn right onto Bajada del Cerrito, Distance: 287.7 meters, Time: 207.1 seconds
Name: Avenida del Castillo, Instruction: Turn left onto Avenida del Castillo, Distance: 212.5 meters, Time: 153.0 seconds
Name: Avenida del Castillo, Instruction: Keep left onto Avenida del Castillo, Distance: 603.3 meters, Time: 434.4 seconds
Name: Avenida del Castillo, Instruction: Keep left onto Avenida del Castillo, Distance: 97.5 meters, Time: 70.2 seconds
Name: Avenida del Castillo, Instruction: Turn left onto Avenida del Castillo, Distance: 376.8 meters, Time: 271.3 seconds
Name: Avenida del Castillo, Instruction: Turn right onto Avenida del Castillo, Distance: 180.0 meters, Time: 129.6 seconds
Name: Calle Joya de Nieves, Instruction: Turn right onto Calle Joya de Nieves, Distance: 4.7 meters, Time: 3.4 seconds
Name: Avenida del Castillo, Instruction: Turn left onto Avenida del Castillo, Distance: 58.9 meters, Time: 42.4 seconds
Name: Calle Tetecontla, Instruction: Turn left onto Calle Tetecontla, Distance: 30.8 meters, Time: 22.2 seconds
Name: Calle Francisco Márquez, Instruction: Turn right onto Calle Francisco Márquez, Distance: 81.7 meters, Time: 58.8 seconds
Name: Calle Francisco Márquez, Instruction: Turn right onto Calle Francisco Márquez, Distance: 154.1 meters, Time: 111.0 seconds
Name: -, Instruction: Turn left, Distance: 12.1 meters, Time: 8.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
