Name: Avenida del Taller, EJE 2 SUR, Instruction: Head northwest on Avenida del Taller, EJE 2 SUR, Distance: 936.3 meters, Time: 674.1 seconds
Name: Avenida Antonio Peña y Reyes, Instruction: Turn right onto Avenida Antonio Peña y Reyes, Distance: 9.2 meters, Time: 6.7 seconds
Name: Avenida del Taller, EJE 2 SUR, Instruction: Turn left onto Avenida del Taller, EJE 2 SUR, Distance: 20.3 meters, Time: 14.6 seconds
Name: Retorno 20 de Avenida del Taller, Instruction: Turn right onto Retorno 20 de Avenida del Taller, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn left, Distance: 47.4 meters, Time: 34.1 seconds
Name: Retorno 18 de Avenida del Taller, Instruction: Turn right onto Retorno 18 de Avenida del Taller, Distance: 142.7 meters, Time: 102.8 seconds
Name: Cerrada Retorno 18 de Avenida del Taller, Instruction: Turn left onto Cerrada Retorno 18 de Avenida del Taller, Distance: 6.9 meters, Time: 4.9 seconds
Name: Retorno 18, Instruction: Turn right onto Retorno 18, Distance: 49.9 meters, Time: 35.9 seconds
Name: -, Instruction: Turn left, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Keep right, Distance: 18.9 meters, Time: 13.6 seconds
Name: -, Instruction: Turn left, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn right, Distance: 2.6 meters, Time: 1.9 seconds
Name: -, Instruction: Turn left, Distance: 20.2 meters, Time: 14.6 seconds
Name: Retorno 16, Instruction: Turn right onto Retorno 16, Distance: 171.0 meters, Time: 123.1 seconds
Name: -, Instruction: Turn left, Distance: 34.3 meters, Time: 24.7 seconds
Name: Retorno 10 de Nicolás León, Instruction: Turn right onto Retorno 10 de Nicolás León, Distance: 35.5 meters, Time: 25.6 seconds
Name: -, Instruction: Keep left, Distance: 24.9 meters, Time: 17.9 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 24.4 meters, Time: 17.6 seconds
Name: Lateral Oriente Nicolás León, Instruction: Turn slight right onto Lateral Oriente Nicolás León, Distance: 34.4 meters, Time: 24.8 seconds
Name: Lateral Sur Fray Servando Teresa de Mier, Instruction: Turn left onto Lateral Sur Fray Servando Teresa de Mier, Distance: 79.2 meters, Time: 57.0 seconds
Name: Avenida Doctor Nicolás León, Instruction: Turn left onto Avenida Doctor Nicolás León, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn right, Distance: 9.5 meters, Time: 6.9 seconds
Name: Avenida Doctor Nicolás León, Instruction: Turn right onto Avenida Doctor Nicolás León, Distance: 5.0 meters, Time: 3.6 seconds
Name: Retorno 7, Instruction: Turn left onto Retorno 7, Distance: 105.9 meters, Time: 76.2 seconds
Name: -, Instruction: Continue straight, Distance: 26.6 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 62.6 meters, Time: 45.1 seconds
Name: -, Instruction: Turn right, Distance: 33.8 meters, Time: 24.4 seconds
Name: Avenida Fray Servando Teresa de Mier, Instruction: Turn left onto Avenida Fray Servando Teresa de Mier, Distance: 47.6 meters, Time: 34.3 seconds
Name: -, Instruction: Turn right, Distance: 19.3 meters, Time: 13.9 seconds
Name: -, Instruction: Turn right, Distance: 19.9 meters, Time: 14.3 seconds
Name: Avenida Fray Servando Teresa de Mier, Instruction: Turn left onto Avenida Fray Servando Teresa de Mier, Distance: 3.8 meters, Time: 2.8 seconds
Name: Retorno 4, Instruction: Turn sharp right onto Retorno 4, Distance: 29.8 meters, Time: 21.4 seconds
Name: -, Instruction: Turn left, Distance: 23.4 meters, Time: 16.9 seconds
Name: Retorno 6, Instruction: Turn slight right onto Retorno 6, Distance: 127.1 meters, Time: 91.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 32.6 meters, Time: 23.5 seconds
Name: -, Instruction: Turn left, Distance: 112.2 meters, Time: 80.8 seconds
Name: -, Instruction: Turn left, Distance: 27.8 meters, Time: 20.0 seconds
Name: Retorno 4, Instruction: Turn right onto Retorno 4, Distance: 117.1 meters, Time: 84.3 seconds
Name: Francisco del Paso y Troncoso, Instruction: Turn right onto Francisco del Paso y Troncoso, Distance: 67.5 meters, Time: 48.6 seconds
Name: -, Instruction: Arrive at Francisco del Paso y Troncoso, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
