Name: Calle Picos Vi B Andador 9, Instruction: Head south on Calle Picos Vi B Andador 9, Distance: 9.9 meters, Time: 7.1 seconds
Name: -, Instruction: Turn left, Distance: 118.6 meters, Time: 85.4 seconds
Name: Calle Ingenieros Petroleros, Instruction: Turn right onto Calle Ingenieros Petroleros, Distance: 453.0 meters, Time: 326.1 seconds
Name: Calle Ingenieros Topógrafos, Instruction: Turn left onto Calle Ingenieros Topógrafos, Distance: 86.8 meters, Time: 62.5 seconds
Name: Calle Baja California, Instruction: Turn right onto Calle Baja California, Distance: 54.9 meters, Time: 39.5 seconds
Name: Calle Veracruz, Instruction: Turn left onto Calle Veracruz, Distance: 157.9 meters, Time: 113.7 seconds
Name: Avenida Río Churubusco, Instruction: Turn left onto Avenida Río Churubusco, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep right, Distance: 135.7 meters, Time: 97.7 seconds
Name: Avenida Río Churubusco, Instruction: Turn right onto Avenida Río Churubusco, Distance: 4.7 meters, Time: 3.4 seconds
Name: Calle Gerentes, Instruction: Turn left onto Calle Gerentes, Distance: 325.8 meters, Time: 234.6 seconds
Name: Calle Gerentes, Instruction: Turn right onto Calle Gerentes, Distance: 26.8 meters, Time: 19.3 seconds
Name: Canal Río Churubusco, EJE 4 OTE, Instruction: Turn slight right onto Canal Río Churubusco, EJE 4 OTE, Distance: 6.8 meters, Time: 4.9 seconds
Name: Calle Hualquila, Instruction: Keep left onto Calle Hualquila, Distance: 43.6 meters, Time: 31.4 seconds
Name: Calle Hualquila, Instruction: Keep left onto Calle Hualquila, Distance: 207.3 meters, Time: 149.3 seconds
Name: -, Instruction: Turn left, Distance: 83.1 meters, Time: 59.8 seconds
Name: -, Instruction: Turn left, Distance: 232.4 meters, Time: 167.3 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.2 seconds
Name: -, Instruction: Turn left, Distance: 92.5 meters, Time: 66.6 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
