Name: 1 Ingenieros Militares, Instruction: Head northwest on 1 Ingenieros Militares, Distance: 90.9 meters, Time: 65.4 seconds
Name: Avenida del Toreo, Instruction: Turn left onto Avenida del Toreo, Distance: 97.8 meters, Time: 70.4 seconds
Name: Calle 7, Instruction: Turn right onto Calle 7, Distance: 15.4 meters, Time: 11.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 109.7 meters, Time: 79.0 seconds
Name: -, Instruction: Turn slight right, Distance: 105.7 meters, Time: 76.1 seconds
Name: Prolongación Calzada Ingenieros Militares, Instruction: Turn left onto Prolongación Calzada Ingenieros Militares, Distance: 283.0 meters, Time: 203.7 seconds
Name: Prolongación Calzada Ingenieros Militares, Instruction: Keep left onto Prolongación Calzada Ingenieros Militares, Distance: 14.0 meters, Time: 10.1 seconds
Name: Avenida Lomas de Sotelo, Instruction: Turn slight right onto Avenida Lomas de Sotelo, Distance: 150.2 meters, Time: 108.1 seconds
Name: Boulevard Manuel Ávila Camacho, Instruction: Turn slight left onto Boulevard Manuel Ávila Camacho, Distance: 263.9 meters, Time: 190.0 seconds
Name: -, Instruction: Turn right, Distance: 48.2 meters, Time: 34.7 seconds
Name: Boulevard Manuel Ávila Camacho, Instruction: Turn sharp left onto Boulevard Manuel Ávila Camacho, Distance: 10.3 meters, Time: 7.4 seconds
Name: Hipódromo de las Américas, Instruction: Turn sharp right onto Hipódromo de las Américas, Distance: 14.9 meters, Time: 10.7 seconds
Name: Hipódromo de las Américas, Instruction: Turn sharp left onto Hipódromo de las Américas, Distance: 40.4 meters, Time: 29.1 seconds
Name: Avenida Industria Militar, Instruction: Turn slight right onto Avenida Industria Militar, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 269.0 meters, Time: 193.6 seconds
Name: -, Instruction: Turn left, Distance: 18.0 meters, Time: 12.9 seconds
Name: Avenida Industria Militar, Instruction: Turn right onto Avenida Industria Militar, Distance: 392.7 meters, Time: 282.8 seconds
Name: -, Instruction: Arrive at Avenida Industria Militar, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
