Name: Calle Doctor Atl, Instruction: Head northwest on Calle Doctor Atl, Distance: 6.4 meters, Time: 4.6 seconds
Name: Calzada de Guadalupe, Instruction: Turn right onto Calzada de Guadalupe, Distance: 23.7 meters, Time: 17.1 seconds
Name: Calzada de Guadalupe, Instruction: Keep right onto Calzada de Guadalupe, Distance: 19.5 meters, Time: 14.1 seconds
Name: Calzada del Hueso, Instruction: Turn right onto Calzada del Hueso, Distance: 745.4 meters, Time: 536.7 seconds
Name: -, Instruction: Turn left, Distance: 14.2 meters, Time: 10.3 seconds
Name: -, Instruction: Turn slight right, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Keep right, Distance: 49.4 meters, Time: 35.6 seconds
Name: -, Instruction: Keep right, Distance: 35.6 meters, Time: 25.6 seconds
Name: -, Instruction: Turn right, Distance: 19.7 meters, Time: 14.2 seconds
Name: Calzada del Hueso, Instruction: Turn left onto Calzada del Hueso, Distance: 52.4 meters, Time: 37.8 seconds
Name: -, Instruction: Turn right, Distance: 24.2 meters, Time: 17.4 seconds
Name: -, Instruction: Turn left, Distance: 49.1 meters, Time: 35.4 seconds
Name: -, Instruction: Keep right, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Keep left, Distance: 60.7 meters, Time: 43.7 seconds
Name: -, Instruction: Continue straight, Distance: 34.9 meters, Time: 25.1 seconds
Name: -, Instruction: Keep left, Distance: 21.5 meters, Time: 15.5 seconds
Name: -, Instruction: Keep left, Distance: 58.7 meters, Time: 42.3 seconds
Name: -, Instruction: Keep right, Distance: 27.0 meters, Time: 19.4 seconds
Name: -, Instruction: Keep left, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn right, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Keep left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Keep left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 18.1 meters, Time: 13.0 seconds
Name: Calzada del Hueso, Instruction: Turn slight right onto Calzada del Hueso, Distance: 175.2 meters, Time: 126.2 seconds
Name: Calle Algodonales, Instruction: Turn right onto Calle Algodonales, Distance: 289.4 meters, Time: 208.4 seconds
Name: Calzada de los Tenorios, Instruction: Turn slight left onto Calzada de los Tenorios, Distance: 398.2 meters, Time: 286.7 seconds
Name: -, Instruction: Arrive at Calzada de los Tenorios, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
