Name: Leopoldstraße, Instruction: Head south on Leopoldstraße, Distance: 3.0 meters, Time: 2.2 seconds
Name: -, Instruction: Turn left, Distance: 11.2 meters, Time: 8.1 seconds
Name: -, Instruction: Turn left, Distance: 515.8 meters, Time: 371.3 seconds
Name: Marschallstraße, Instruction: Continue straight onto Marschallstraße, Distance: 30.2 meters, Time: 21.7 seconds
Name: Marschallstraße, Instruction: Keep right onto Marschallstraße, Distance: 15.8 meters, Time: 11.4 seconds
Name: Ungererstraße, Instruction: Turn right onto Ungererstraße, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 28.4 meters, Time: 20.5 seconds
Name: -, Instruction: Turn right, Distance: 7.1 meters, Time: 5.1 seconds
Name: -, Instruction: Turn right, Distance: 18.1 meters, Time: 13.0 seconds
Name: -, Instruction: Turn right, Distance: 3.7 meters, Time: 2.6 seconds
Name: -, Instruction: Turn left, Distance: 456.1 meters, Time: 328.4 seconds
Name: -, Instruction: Turn left, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn left, Distance: 15.8 meters, Time: 11.4 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
