Name: Gerhart-Hauptmann-Ring, Instruction: Head northwest on Gerhart-Hauptmann-Ring, Distance: 224.0 meters, Time: 161.3 seconds
Name: -, Instruction: Turn left, Distance: 57.2 meters, Time: 41.2 seconds
Name: -, Instruction: Turn right, Distance: 25.9 meters, Time: 18.6 seconds
Name: -, Instruction: Turn left, Distance: 154.3 meters, Time: 111.1 seconds
Name: -, Instruction: Turn left, Distance: 55.2 meters, Time: 39.8 seconds
Name: -, Instruction: Turn left, Distance: 73.5 meters, Time: 52.9 seconds
Name: -, Instruction: Turn slight right, Distance: 352.1 meters, Time: 253.5 seconds
Name: -, Instruction: Turn sharp right, Distance: 8.2 meters, Time: 5.9 seconds
Name: -, Instruction: Turn left, Distance: 101.8 meters, Time: 73.3 seconds
Name: -, Instruction: Turn left, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 172.3 meters, Time: 124.0 seconds
Name: -, Instruction: Keep left, Distance: 78.1 meters, Time: 56.3 seconds
Name: -, Instruction: Keep left, Distance: 225.2 meters, Time: 162.1 seconds
Name: -, Instruction: Keep left, Distance: 368.8 meters, Time: 265.5 seconds
Name: -, Instruction: Continue straight, Distance: 139.8 meters, Time: 100.7 seconds
Name: -, Instruction: Turn right, Distance: 9.2 meters, Time: 6.6 seconds
Name: -, Instruction: Turn left, Distance: 33.1 meters, Time: 23.8 seconds
Name: Hofmarkstraße, Instruction: Turn right onto Hofmarkstraße, Distance: 47.5 meters, Time: 34.2 seconds
Name: -, Instruction: Turn left, Distance: 14.6 meters, Time: 10.5 seconds
Name: Schmidbauerstraße, Instruction: Turn right onto Schmidbauerstraße, Distance: 48.5 meters, Time: 34.9 seconds
Name: -, Instruction: Turn left, Distance: 96.3 meters, Time: 69.4 seconds
Name: -, Instruction: Turn left, Distance: 16.1 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 16.6 meters, Time: 12.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
