Name: Radstädter Straße, Instruction: Head east on Radstädter Straße, Distance: 32.8 meters, Time: 23.6 seconds
Name: Willibaldstraße, Instruction: Turn left onto Willibaldstraße, Distance: 22.5 meters, Time: 16.2 seconds
Name: Reutterstraße, Instruction: Turn right onto Reutterstraße, Distance: 99.6 meters, Time: 71.7 seconds
Name: Perhamerstraße, Instruction: Turn left onto Perhamerstraße, Distance: 206.8 meters, Time: 148.9 seconds
Name: Agricolastraße, Instruction: Turn right onto Agricolastraße, Distance: 8.5 meters, Time: 6.1 seconds
Name: Perhamerstraße, Instruction: Turn left onto Perhamerstraße, Distance: 694.3 meters, Time: 499.9 seconds
Name: Stadtlohner Straße, Instruction: Turn right onto Stadtlohner Straße, Distance: 4.9 meters, Time: 3.5 seconds
Name: -, Instruction: Turn left, Distance: 65.5 meters, Time: 47.1 seconds
Name: Fürstenrieder Straße, Instruction: Turn right onto Fürstenrieder Straße, Distance: 27.2 meters, Time: 19.6 seconds
Name: -, Instruction: Turn left, Distance: 24.7 meters, Time: 17.8 seconds
Name: -, Instruction: Turn right, Distance: 190.7 meters, Time: 137.3 seconds
Name: -, Instruction: Turn left, Distance: 42.8 meters, Time: 30.8 seconds
Name: -, Instruction: Turn right, Distance: 18.4 meters, Time: 13.3 seconds
Name: -, Instruction: Turn right, Distance: 45.6 meters, Time: 32.8 seconds
Name: -, Instruction: Turn slight left, Distance: 21.1 meters, Time: 15.2 seconds
Name: -, Instruction: Turn right, Distance: 14.5 meters, Time: 10.4 seconds
Name: -, Instruction: Keep left, Distance: 5.5 meters, Time: 4.0 seconds
Name: Schrottstraße, Instruction: Turn slight left onto Schrottstraße, Distance: 431.3 meters, Time: 310.5 seconds
Name: Friedenheimer Straße, Instruction: Turn right onto Friedenheimer Straße, Distance: 116.6 meters, Time: 84.0 seconds
Name: -, Instruction: Turn left, Distance: 19.7 meters, Time: 14.2 seconds
Name: -, Instruction: Turn right, Distance: 121.0 meters, Time: 87.1 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
