Name: Bunzlauer Platz, Instruction: Head north on Bunzlauer Platz, Distance: 110.9 meters, Time: 79.8 seconds
Name: -, Instruction: Turn left, Distance: 72.1 meters, Time: 51.9 seconds
Name: -, Instruction: Continue straight, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Turn slight right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn right, Distance: 18.5 meters, Time: 13.3 seconds
Name: -, Instruction: Keep left, Distance: 54.5 meters, Time: 39.3 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn sharp right, Distance: 44.5 meters, Time: 32.0 seconds
Name: Würmstraße, Instruction: Turn left onto Würmstraße, Distance: 108.8 meters, Time: 78.3 seconds
Name: Rathgeberstraße, Instruction: Turn right onto Rathgeberstraße, Distance: 566.6 meters, Time: 407.9 seconds
Name: Wilhelmshavener Straße, Instruction: Turn left onto Wilhelmshavener Straße, Distance: 271.2 meters, Time: 195.3 seconds
Name: Glogauer Straße, Instruction: Turn right onto Glogauer Straße, Distance: 146.5 meters, Time: 105.5 seconds
Name: -, Instruction: Arrive at Glogauer Straße, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
