Name: Gleißnerstraße, Instruction: Head east on Gleißnerstraße, Distance: 13.4 meters, Time: 9.7 seconds
Name: -, Instruction: Keep right, Distance: 222.3 meters, Time: 160.0 seconds
Name: Seebauerstraße, Instruction: Turn left onto Seebauerstraße, Distance: 64.8 meters, Time: 46.7 seconds
Name: Adam-Berg-Straße, Instruction: Turn right onto Adam-Berg-Straße, Distance: 243.9 meters, Time: 175.6 seconds
Name: -, Instruction: Turn left, Distance: 253.3 meters, Time: 182.4 seconds
Name: Hofangerstraße, Instruction: Turn right onto Hofangerstraße, Distance: 255.5 meters, Time: 184.0 seconds
Name: -, Instruction: Turn left, Distance: 54.8 meters, Time: 39.4 seconds
Name: -, Instruction: Turn slight left, Distance: 72.6 meters, Time: 52.3 seconds
Name: -, Instruction: Turn left, Distance: 225.6 meters, Time: 162.5 seconds
Name: Krehlebogen, Instruction: Turn right onto Krehlebogen, Distance: 43.6 meters, Time: 31.4 seconds
Name: Holzwiesenstraße, Instruction: Turn left onto Holzwiesenstraße, Distance: 71.2 meters, Time: 51.3 seconds
Name: -, Instruction: Turn left, Distance: 85.1 meters, Time: 61.3 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
