Name: Korbinianplatz, Instruction: Head east on Korbinianplatz, Distance: 26.7 meters, Time: 19.2 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.3 seconds
Name: -, Instruction: Turn left, Distance: 18.6 meters, Time: 13.4 seconds
Name: -, Instruction: Turn left, Distance: 83.4 meters, Time: 60.1 seconds
Name: -, Instruction: Turn right, Distance: 114.6 meters, Time: 82.5 seconds
Name: -, Instruction: Turn slight right, Distance: 289.9 meters, Time: 208.7 seconds
Name: Keferloherstraße, Instruction: Turn left onto Keferloherstraße, Distance: 20.2 meters, Time: 14.5 seconds
Name: -, Instruction: Turn right, Distance: 90.2 meters, Time: 64.9 seconds
Name: -, Instruction: Turn left, Distance: 129.4 meters, Time: 93.1 seconds
Name: -, Instruction: Turn sharp left, Distance: 36.5 meters, Time: 26.3 seconds
Name: -, Instruction: Turn slight right, Distance: 6.2 meters, Time: 4.4 seconds
Name: -, Instruction: Turn right, Distance: 392.5 meters, Time: 282.6 seconds
Name: Torquato-Tasso-Straße, Instruction: Turn right onto Torquato-Tasso-Straße, Distance: 63.2 meters, Time: 45.5 seconds
Name: -, Instruction: Turn left, Distance: 5.4 meters, Time: 3.9 seconds
Name: -, Instruction: Turn right, Distance: 33.9 meters, Time: 24.4 seconds
Name: -, Instruction: Turn left, Distance: 84.4 meters, Time: 60.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
