Name: Praschlerstraße, Instruction: Head south on Praschlerstraße, Distance: 29.3 meters, Time: 21.1 seconds
Name: Ellingerweg, Instruction: Turn right onto Ellingerweg, Distance: 98.3 meters, Time: 70.8 seconds
Name: Mutschellestraße, Instruction: Turn left onto Mutschellestraße, Distance: 131.6 meters, Time: 94.8 seconds
Name: -, Instruction: Turn right, Distance: 10.6 meters, Time: 7.6 seconds
Name: -, Instruction: Turn left, Distance: 30.0 meters, Time: 21.6 seconds
Name: -, Instruction: Turn right, Distance: 93.2 meters, Time: 67.1 seconds
Name: Schildensteinstraße, Instruction: Turn left onto Schildensteinstraße, Distance: 276.8 meters, Time: 199.3 seconds
Name: Rahel-Straus-Weg, Instruction: Turn right onto Rahel-Straus-Weg, Distance: 41.8 meters, Time: 30.1 seconds
Name: Rahel-Straus-Weg, Instruction: Turn left onto Rahel-Straus-Weg, Distance: 112.1 meters, Time: 80.7 seconds
Name: -, Instruction: Turn right, Distance: 28.8 meters, Time: 20.7 seconds
Name: -, Instruction: Keep right, Distance: 40.6 meters, Time: 29.2 seconds
Name: -, Instruction: Turn sharp left, Distance: 4.5 meters, Time: 3.2 seconds
Name: -, Instruction: Turn right, Distance: 9.3 meters, Time: 6.7 seconds
Name: -, Instruction: Keep left, Distance: 124.3 meters, Time: 89.5 seconds
Name: -, Instruction: Turn slight right, Distance: 249.8 meters, Time: 179.9 seconds
Name: -, Instruction: Turn left, Distance: 344.8 meters, Time: 248.2 seconds
Name: -, Instruction: Turn left, Distance: 12.0 meters, Time: 8.7 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
