Name: Allée Youri Gagarine, Instruction: Head northwest on Allée Youri Gagarine, Distance: 17.6 meters, Time: 12.7 seconds
Name: Rue Jean Jaurès, Instruction: Turn right onto Rue Jean Jaurès, Distance: 35.0 meters, Time: 25.2 seconds
Name: Rue Louis Rouquier, Instruction: Turn sharp left onto Rue Louis Rouquier, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: -, Instruction: Turn sharp right, Distance: 406.0 meters, Time: 292.3 seconds
Name: -, Instruction: Turn left, Distance: 2.2 meters, Time: 1.6 seconds
Name: -, Instruction: Keep right, Distance: 9.7 meters, Time: 6.9 seconds
Name: -, Instruction: Turn slight right, Distance: 1.4 meters, Time: 1.0 seconds
Name: -, Instruction: Turn slight left, Distance: 154.8 meters, Time: 111.4 seconds
Name: -, Instruction: Turn left, Distance: 1.7 meters, Time: 1.2 seconds
Name: -, Instruction: Turn right, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn left, Distance: 70.2 meters, Time: 50.6 seconds
Name: -, Instruction: Turn slight left, Distance: 2.0 meters, Time: 1.4 seconds
Name: -, Instruction: Turn slight right, Distance: 9.0 meters, Time: 6.5 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
