Name: Rue Eugène Carrière, Instruction: Head south on Rue Eugène Carrière, Distance: 4.1 meters, Time: 3.0 seconds
Name: Rue Lamarck, Instruction: Turn left onto Rue Lamarck, Distance: 246.1 meters, Time: 177.2 seconds
Name: Rue Duhesme, Instruction: Keep left onto Rue Duhesme, Distance: 10.9 meters, Time: 7.9 seconds
Name: -, Instruction: Keep right, Distance: 9.8 meters, Time: 7.0 seconds
Name: -, Instruction: Turn right, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn left, Distance: 275.2 meters, Time: 198.1 seconds
Name: -, Instruction: Turn right, Distance: 14.3 meters, Time: 10.3 seconds
Name: -, Instruction: Turn left, Distance: 5.6 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 8.5 meters, Time: 6.1 seconds
Name: -, Instruction: Turn left, Distance: 134.8 meters, Time: 97.0 seconds
Name: -, Instruction: Turn right, Distance: 11.4 meters, Time: 8.2 seconds
Name: -, Instruction: Turn right, Distance: 1.6 meters, Time: 1.2 seconds
Name: -, Instruction: Turn slight left, Distance: 255.0 meters, Time: 183.6 seconds
Name: -, Instruction: Keep right, Distance: 11.0 meters, Time: 8.0 seconds
Name: -, Instruction: Turn left, Distance: 141.7 meters, Time: 102.0 seconds
Name: -, Instruction: Turn left, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
