Name: Rue Florian, Instruction: Head northwest on Rue Florian, Distance: 95.2 meters, Time: 68.6 seconds
Name: -, Instruction: Turn left, Distance: 2.1 meters, Time: 1.5 seconds
Name: -, Instruction: Turn right, Distance: 37.9 meters, Time: 27.3 seconds
Name: -, Instruction: Turn left, Distance: 82.5 meters, Time: 59.4 seconds
Name: -, Instruction: Turn right, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Turn right, Distance: 4.4 meters, Time: 3.2 seconds
Name: -, Instruction: Turn left, Distance: 116.7 meters, Time: 84.0 seconds
Name: -, Instruction: Turn right, Distance: 8.1 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 7.5 meters, Time: 5.4 seconds
Name: -, Instruction: Turn right, Distance: 111.3 meters, Time: 80.1 seconds
Name: -, Instruction: Turn left, Distance: 34.8 meters, Time: 25.1 seconds
Name: -, Instruction: Turn right, Distance: 10.9 meters, Time: 7.8 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
