Name: Avenue Marceau, Instruction: Head south on Avenue Marceau, Distance: 0.0 meters, Time: 0.0 seconds
Name: -, Instruction: Turn right, Distance: 11.8 meters, Time: 8.5 seconds
Name: -, Instruction: Turn left, Distance: 37.1 meters, Time: 26.7 seconds
Name: -, Instruction: Turn slight left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Keep left, Distance: 16.4 meters, Time: 11.8 seconds
Name: -, Instruction: Turn slight left, Distance: 67.8 meters, Time: 48.8 seconds
Name: -, Instruction: Turn right, Distance: 79.1 meters, Time: 57.0 seconds
Name: -, Instruction: Keep right, Distance: 8.3 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 169.4 meters, Time: 122.0 seconds
Name: -, Instruction: Turn slight right, Distance: 14.9 meters, Time: 10.7 seconds
Name: -, Instruction: Turn left, Distance: 248.4 meters, Time: 178.8 seconds
Name: -, Instruction: Turn left, Distance: 138.4 meters, Time: 99.7 seconds
Name: -, Instruction: Turn left, Distance: 4.8 meters, Time: 3.5 seconds
Name: Rue du Général Camou, Instruction: Turn right onto Rue du Général Camou, Distance: 204.7 meters, Time: 147.4 seconds
Name: -, Instruction: Arrive at Rue du Général Camou, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
