Name: Cité du Labyrinthe, Instruction: Head north on Cité du Labyrinthe, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 81.2 meters, Time: 58.5 seconds
Name: -, Instruction: Turn slight right, Distance: 0.7 meters, Time: 0.5 seconds
Name: -, Instruction: Turn left, Distance: 118.9 meters, Time: 85.6 seconds
Name: -, Instruction: Turn left, Distance: 37.8 meters, Time: 27.2 seconds
Name: -, Instruction: Turn right, Distance: 8.4 meters, Time: 6.0 seconds
Name: -, Instruction: Turn right, Distance: 6.6 meters, Time: 4.7 seconds
Name: -, Instruction: Turn right, Distance: 3.1 meters, Time: 2.2 seconds
Name: Rue Julien Lacroix, Instruction: Turn left onto Rue Julien Lacroix, Distance: 287.1 meters, Time: 206.7 seconds
Name: -, Instruction: Turn left, Distance: 115.3 meters, Time: 83.0 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
