Name: Rue Nélaton, Instruction: Head northeast on Rue Nélaton, Distance: 37.3 meters, Time: 26.9 seconds
Name: Rue Félix Pyat, Instruction: Turn left onto Rue Félix Pyat, Distance: 98.0 meters, Time: 70.6 seconds
Name: Rue Hoche, Instruction: Turn right onto Rue Hoche, Distance: 86.9 meters, Time: 62.5 seconds
Name: Rue Hoche, Instruction: Keep left onto Rue Hoche, Distance: 45.5 meters, Time: 32.7 seconds
Name: Passerelle du Couchant, Instruction: Turn sharp right onto Passerelle du Couchant, Distance: 104.8 meters, Time: 75.5 seconds
Name: Passerelle du Couchant, Instruction: Turn left onto Passerelle du Couchant, Distance: 4.2 meters, Time: 3.0 seconds
Name: -, Instruction: Turn right, Distance: 15.5 meters, Time: 11.2 seconds
Name: -, Instruction: Turn left, Distance: 106.0 meters, Time: 76.3 seconds
Name: -, Instruction: Turn left, Distance: 15.6 meters, Time: 11.2 seconds
Name: -, Instruction: Keep left, Distance: 39.3 meters, Time: 28.3 seconds
Name: -, Instruction: Turn slight right, Distance: 27.5 meters, Time: 19.8 seconds
Name: -, Instruction: Turn right, Distance: 13.0 meters, Time: 9.4 seconds
Name: -, Instruction: Turn left, Distance: 8.6 meters, Time: 6.2 seconds
Name: -, Instruction: Turn right, Distance: 22.4 meters, Time: 16.1 seconds
Name: -, Instruction: Turn slight left, Distance: 15.2 meters, Time: 11.0 seconds
Name: -, Instruction: Turn left, Distance: 2.7 meters, Time: 2.0 seconds
Name: -, Instruction: Turn right, Distance: 11.5 meters, Time: 8.3 seconds
Name: -, Instruction: Turn left, Distance: 13.2 meters, Time: 9.5 seconds
Name: -, Instruction: Turn slight left, Distance: 5.5 meters, Time: 4.0 seconds
Name: -, Instruction: Turn right, Distance: 71.1 meters, Time: 51.2 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
