Name: Rue de Cléry, Instruction: Head northeast on Rue de Cléry, Distance: 99.7 meters, Time: 71.8 seconds
Name: -, Instruction: Keep right, Distance: 61.9 meters, Time: 44.6 seconds
Name: -, Instruction: Keep left, Distance: 21.0 meters, Time: 15.1 seconds
Name: -, Instruction: Keep right, Distance: 72.2 meters, Time: 52.0 seconds
Name: Rue des Petits Carreaux, Instruction: Turn right onto Rue des Petits Carreaux, Distance: 9.7 meters, Time: 7.0 seconds
Name: Allée Pierre Lazareff, Instruction: Turn left onto Allée Pierre Lazareff, Distance: 4.7 meters, Time: 3.4 seconds
Name: -, Instruction: Turn right, Distance: 3.0 meters, Time: 2.1 seconds
Name: -, Instruction: Turn left, Distance: 276.8 meters, Time: 199.3 seconds
Name: -, Instruction: Turn left, Distance: 4.3 meters, Time: 3.1 seconds
Name: -, Instruction: Turn right, Distance: 102.6 meters, Time: 73.9 seconds
Name: -, Instruction: Turn right, Distance: 3.5 meters, Time: 2.5 seconds
Name: -, Instruction: Turn left, Distance: 26.4 meters, Time: 19.0 seconds
Name: -, Instruction: Turn slight right, Distance: 55.2 meters, Time: 39.7 seconds
Name: -, Instruction: Turn left, Distance: 3.7 meters, Time: 2.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
