Name: Rue de Provence, Instruction: Head west on Rue de Provence, Distance: 81.2 meters, Time: 58.5 seconds
Name: -, Instruction: Turn right, Distance: 7.3 meters, Time: 5.3 seconds
Name: -, Instruction: Turn slight left, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Keep left, Distance: 16.3 meters, Time: 11.7 seconds
Name: -, Instruction: Turn left, Distance: 74.7 meters, Time: 53.7 seconds
Name: -, Instruction: Turn right, Distance: 1.5 meters, Time: 1.1 seconds
Name: -, Instruction: Turn left, Distance: 13.3 meters, Time: 9.6 seconds
Name: -, Instruction: Turn left, Distance: 40.4 meters, Time: 29.1 seconds
Name: -, Instruction: Turn right, Distance: 6.1 meters, Time: 4.4 seconds
Name: -, Instruction: Keep left, Distance: 11.6 meters, Time: 8.4 seconds
Name: -, Instruction: Turn left, Distance: 3.6 meters, Time: 2.6 seconds
Name: -, Instruction: Turn slight right, Distance: 191.1 meters, Time: 137.6 seconds
Name: -, Instruction: Turn slight right, Distance: 59.2 meters, Time: 42.6 seconds
Name: -, Instruction: Keep left, Distance: 25.9 meters, Time: 18.6 seconds
Name: Boulevard Malesherbes, Instruction: Turn right onto Boulevard Malesherbes, Distance: 20.6 meters, Time: 14.9 seconds
Name: -, Instruction: Turn left, Distance: 34.4 meters, Time: 24.8 seconds
Name: -, Instruction: Turn right, Distance: 384.3 meters, Time: 276.7 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
