Name: Rue Ernestine, Instruction: Head north on Rue Ernestine, Distance: 6.0 meters, Time: 4.3 seconds
Name: -, Instruction: Turn right, Distance: 4.0 meters, Time: 2.9 seconds
Name: -, Instruction: Keep right, Distance: 99.1 meters, Time: 71.4 seconds
Name: -, Instruction: Turn right, Distance: 8.0 meters, Time: 5.8 seconds
Name: -, Instruction: Turn left, Distance: 2.3 meters, Time: 1.7 seconds
Name: -, Instruction: Turn slight left, Distance: 5.0 meters, Time: 3.6 seconds
Name: Rue Stephenson, Instruction: Turn right onto Rue Stephenson, Distance: 300.1 meters, Time: 216.0 seconds
Name: -, Instruction: Turn left, Distance: 5.0 meters, Time: 3.6 seconds
Name: -, Instruction: Turn right, Distance: 106.8 meters, Time: 76.9 seconds
Name: -, Instruction: Keep left, Distance: 3.1 meters, Time: 2.2 seconds
Name: -, Instruction: Turn slight left, Distance: 159.1 meters, Time: 114.6 seconds
Name: Place de la Chapelle, Instruction: Turn right onto Place de la Chapelle, Distance: 10.8 meters, Time: 7.7 seconds
Name: -, Instruction: Turn left, Distance: 2.8 meters, Time: 2.0 seconds
Name: -, Instruction: Turn slight right, Distance: 57.0 meters, Time: 41.0 seconds
Name: -, Instruction: Turn left, Distance: 6.8 meters, Time: 4.9 seconds
Name: Place de la Chapelle, Instruction: Turn right onto Place de la Chapelle, Distance: 7.3 meters, Time: 5.2 seconds
Name: Rue Louis Blanc, Instruction: Keep left onto Rue Louis Blanc, Distance: 202.1 meters, Time: 145.5 seconds
Name: -, Instruction: Turn right, Distance: 8.7 meters, Time: 6.3 seconds
Name: -, Instruction: Turn left, Distance: 42.3 meters, Time: 30.4 seconds
Name: -, Instruction: Turn left, Distance: 11.0 meters, Time: 7.9 seconds
Name: -, Instruction: Turn slight left, Distance: 10.9 meters, Time: 7.8 seconds
Name: Place Jan Karski, Instruction: Turn right onto Place Jan Karski, Distance: 17.2 meters, Time: 12.4 seconds
Name: Place Jan Karski, Instruction: Turn left onto Place Jan Karski, Distance: 1.9 meters, Time: 1.4 seconds
Name: -, Instruction: Turn right, Distance: 36.1 meters, Time: 26.0 seconds
Name: -, Instruction: Turn left, Distance: 19.6 meters, Time: 14.1 seconds
Name: -, Instruction: Turn right, Distance: 65.5 meters, Time: 47.2 seconds
Name: -, Instruction: Keep left, Distance: 13.7 meters, Time: 9.8 seconds
Name: -, Instruction: Turn slight left, Distance: 2.7 meters, Time: 1.9 seconds
Name: -, Instruction: Turn right, Distance: 71.3 meters, Time: 51.3 seconds
Name: -, Instruction: Turn right, Distance: 5.6 meters, Time: 4.1 seconds
Name: -, Instruction: Turn left, Distance: 216.9 meters, Time: 156.1 seconds
Name: -, Instruction: Turn left, Distance: 28.1 meters, Time: 20.2 seconds
Name: -, Instruction: Turn right, Distance: 309.7 meters, Time: 223.0 seconds
Name: Avenue de Verdun, Instruction: Turn left onto Avenue de Verdun, Distance: 17.0 meters, Time: 12.2 seconds
Name: -, Instruction: Turn right, Distance: 43.6 meters, Time: 31.4 seconds
Name: -, Instruction: Keep left, Distance: 16.2 meters, Time: 11.6 seconds
Name: -, Instruction: Turn left, Distance: 20.4 meters, Time: 14.7 seconds
Name: -, Instruction: Keep right, Distance: 44.0 meters, Time: 31.7 seconds
Name: -, Instruction: Turn slight left, Distance: 64.2 meters, Time: 46.2 seconds
Name: -, Instruction: Turn right, Distance: 38.0 meters, Time: 27.4 seconds
Name: -, Instruction: Turn left, Distance: 9.6 meters, Time: 6.9 seconds
Name: -, Instruction: Arrive at your destination, straight ahead, Distance: 0.0 meters, Time: 0.0 seconds
